# Run number : 1
# Parameter set number : 1
# Cost function : 0.0447024186
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      2.0935e-01      9.5415e-01      8.0544e-01      7.1897e-01      4.7908e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -7.53789362  -10.56000000
  2.75000      -5.64950815  -7.73900000 
  3.00000      -4.32413126  -5.78600000 
  3.25000      -3.36824033  -4.41300000 
  3.50000      -2.66292244  -3.42700000 
  3.75000      -2.13240607  -2.70400000 
  4.00000      -1.72682558  -2.16300000 
  4.25000      -1.41236447  -1.75100000 
  4.50000      -1.16552817  -1.43300000 
  4.75000      -0.96967374  -1.18400000 
  5.00000      -0.81274357  -0.98700000 
  5.25000      -0.68588498  -0.82900000 
  5.50000      -0.58251162  -0.70100000 
  5.75000      -0.49765130  -0.59700000 
  6.00000      -0.42750417  -0.51200000 
  6.25000      -0.36913882  -0.44100000 
  6.50000      -0.32028888  -0.38200000 
  6.75000      -0.27917423  -0.33200000 
  7.00000      -0.24438820  -0.29000000 
  7.25000      -0.21479877  -0.25500000 
  7.50000      -0.18951705  -0.22500000 
  7.75000      -0.16782012  -0.19900000 
  8.00000      -0.14911597  -0.17700000 
  8.25000      -0.13292831  -0.15700000 
  8.50000      -0.11886499  -0.14100000 
  8.75000      -0.10659932  -0.12600000 
  9.00000      -0.09587125  -0.11300000 
  9.25000      -0.08645343  -0.10200000 
  9.50000      -0.07815301  -0.09200000 
  9.75000      -0.07082446  -0.08400000 
  10.00000     -0.06433280  -0.07600000 
