# Run number : 1
# Parameter set number : 1
# Cost function : 0.0447024186
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      2.0935e-01      9.5415e-01      8.0544e-01      7.1897e-01      4.7908e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      1.96473439   1.93700000  
  2.75000      2.39428985   2.66300000  
  3.00000      2.52060027   2.87900000  
  3.25000      2.48802974   2.84700000  
  3.50000      2.37530343   2.70000000  
  3.75000      2.22576259   2.50700000  
  4.00000      2.06327582   2.30000000  
  4.25000      1.90084282   2.09900000  
  4.50000      1.74523109   1.90900000  
  4.75000      1.59974842   1.73600000  
  5.00000      1.46568985   1.57800000  
  5.25000      1.34322838   1.43600000  
  5.50000      1.23197011   1.30900000  
  5.75000      1.13117518   1.19600000  
  6.00000      1.04001723   1.09400000  
  6.25000      0.95760093   1.00200000  
  6.50000      0.88308005   0.92000000  
  6.75000      0.81565863   0.84700000  
  7.00000      0.75459913   0.78100000  
  7.25000      0.69922597   0.72100000  
  7.50000      0.64894421   0.66700000  
  7.75000      0.60321504   0.61800000  
  8.00000      0.56156040   0.57400000  
  8.25000      0.52356068   0.53400000  
  8.50000      0.48884127   0.49700000  
  8.75000      0.45706146   0.46400000  
  9.00000      0.42792378   0.43400000  
  9.25000      0.40117285   0.40600000  
  9.50000      0.37657255   0.38000000  
  9.75000      0.35391952   0.35700000  
  10.00000     0.33303026   0.33500000  
