# Run number : 1
# Parameter set number : 1
# Cost function : 0.0447024186
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      2.0935e-01      9.5415e-01      8.0544e-01      7.1897e-01      4.7908e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      3.67117797   2.87300000  
  2.75000      3.17669536   2.62600000  
  3.00000      2.75041963   2.35000000  
  3.25000      2.38730728   2.08300000  
  3.50000      2.07929459   1.84000000  
  3.75000      1.81811094   1.62400000  
  4.00000      1.59620921   1.43600000  
  4.25000      1.40710475   1.27200000  
  4.50000      1.24535902   1.13000000  
  4.75000      1.10648372   1.00700000  
  5.00000      0.98672809   0.90000000  
  5.25000      0.88307654   0.80700000  
  5.50000      0.79299157   0.72600000  
  5.75000      0.71439500   0.65500000  
  6.00000      0.64556514   0.59200000  
  6.25000      0.58506200   0.53700000  
  6.50000      0.53169688   0.48800000  
  6.75000      0.48448797   0.44500000  
  7.00000      0.44257035   0.40700000  
  7.25000      0.40524621   0.37300000  
  7.50000      0.37191770   0.34200000  
  7.75000      0.34207054   0.31500000  
  8.00000      0.31526877   0.29100000  
  8.25000      0.29115178   0.26800000  
  8.50000      0.26937537   0.24800000  
  8.75000      0.24968707   0.23000000  
  9.00000      0.23183851   0.21400000  
  9.25000      0.21561286   0.19900000  
  9.50000      0.20085292   0.18500000  
  9.75000      0.18738394   0.17300000  
  10.00000     0.17507854   0.16200000  
