# Run number : 1
# Parameter set number : 1
# Cost function : 0.0447024186
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      2.0935e-01      9.5415e-01      8.0544e-01      7.1897e-01      4.7908e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -14.56059536 -15.27700000
  2.75000      -11.60936197 -11.67100000
  3.00000      -9.42380819  -9.16100000 
  3.25000      -7.76675104  -7.36400000 
  3.50000      -6.48496553  -6.03900000 
  3.75000      -5.47625299  -5.03400000 
  4.00000      -4.67041133  -4.25500000 
  4.25000      -4.01814298  -3.63700000 
  4.50000      -3.48400909  -3.14000000 
  4.75000      -3.04203368  -2.73300000 
  5.00000      -2.67290422  -2.39600000 
  5.25000      -2.36203024  -2.11500000 
  5.50000      -2.09820562  -1.87700000 
  5.75000      -1.87274014  -1.67500000 
  6.00000      -1.67885460  -1.50200000 
  6.25000      -1.51113792  -1.35200000 
  6.50000      -1.36527128  -1.22200000 
  6.75000      -1.23778444  -1.10800000 
  7.00000      -1.12583657  -1.00900000 
  7.25000      -1.02711397  -0.92100000 
  7.50000      -0.93970327  -0.84300000 
  7.75000      -0.86201604  -0.77400000 
  8.00000      -0.79273268  -0.71200000 
  8.25000      -0.73072292  -0.65700000 
  8.50000      -0.67506398  -0.60800000 
  8.75000      -0.62495522  -0.56300000 
  9.00000      -0.57971812  -0.52300000 
  9.25000      -0.53876945  -0.48600000 
  9.50000      -0.50161362  -0.45300000 
  9.75000      -0.46781466  -0.42300000 
  10.00000     -0.43699037  -0.39500000 
