# Run number : 3
# Parameter set number : 1
# Cost function : 0.0217970719
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.6738e-01      5.6914e-01      6.6111e-01      9.2161e-01      9.8833e-01      4.0949e-01      8.7398e-01      8.1850e-01
# Distance     Computed     Reference
  2.50000      -14.43676286 -15.27700000
  2.75000      -11.46176839 -11.67100000
  3.00000      -9.26621705  -9.16100000 
  3.25000      -7.60845334  -7.36400000 
  3.50000      -6.33167159  -6.03900000 
  3.75000      -5.33114959  -5.03400000 
  4.00000      -4.53506238  -4.25500000 
  4.25000      -3.89307561  -3.63700000 
  4.50000      -3.36912045  -3.14000000 
  4.75000      -2.93689188  -2.73300000 
  5.00000      -2.57687401  -2.39600000 
  5.25000      -2.27440506  -2.11500000 
  5.50000      -2.01826723  -1.87700000 
  5.75000      -1.79979893  -1.67500000 
  6.00000      -1.61223616  -1.50200000 
  6.25000      -1.45023270  -1.35200000 
  6.50000      -1.30952468  -1.22200000 
  6.75000      -1.18667867  -1.10800000 
  7.00000      -1.07892630  -1.00900000 
  7.25000      -0.98398544  -0.92100000 
  7.50000      -0.89999180  -0.84300000 
  7.75000      -0.82539729  -0.77400000 
  8.00000      -0.75890274  -0.71200000 
  8.25000      -0.69943402  -0.65700000 
  8.50000      -0.64607650  -0.60800000 
  8.75000      -0.59805730  -0.56300000 
  9.00000      -0.55472481  -0.52300000 
  9.25000      -0.51551126  -0.48600000 
  9.50000      -0.47994212  -0.45300000 
  9.75000      -0.44758841  -0.42300000 
  10.00000     -0.41809629  -0.39500000 
