# Run number : 5
# Parameter set number : 1
# Cost function : 0.031599418
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.1970e-01      1.0000e+00      9.4001e-02      9.9288e-01      8.7545e-01      9.5665e-01      4.6694e-01      6.4096e-01
# Distance     Computed     Reference
  2.50000      2.34736848   1.93700000  
  2.75000      2.61063849   2.66300000  
  3.00000      2.64042837   2.87900000  
  3.25000      2.55089275   2.84700000  
  3.50000      2.40414540   2.70000000  
  3.75000      2.23421321   2.50700000  
  4.00000      2.05958233   2.30000000  
  4.25000      1.89006156   2.09900000  
  4.50000      1.73048985   1.90900000  
  4.75000      1.58299796   1.73600000  
  5.00000      1.44815394   1.57800000  
  5.25000      1.32565273   1.43600000  
  5.50000      1.21480706   1.30900000  
  5.75000      1.11470759   1.19600000  
  6.00000      1.02436547   1.09400000  
  6.25000      0.94284566   1.00200000  
  6.50000      0.86923822   0.92000000  
  6.75000      0.80271329   0.84700000  
  7.00000      0.74251930   0.78100000  
  7.25000      0.68796374   0.72100000  
  7.50000      0.63845984   0.66700000  
  7.75000      0.59344716   0.61800000  
  8.00000      0.55246810   0.57400000  
  8.25000      0.51508844   0.53400000  
  8.50000      0.48094351   0.49700000  
  8.75000      0.44969668   0.46400000  
  9.00000      0.42105108   0.43400000  
  9.25000      0.39475540   0.40600000  
  9.50000      0.37057355   0.38000000  
  9.75000      0.34830390   0.35700000  
  10.00000     0.32776995   0.33500000  
