# Run number : 5
# Parameter set number : 1
# Cost function : 0.031599418
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.1970e-01      1.0000e+00      9.4001e-02      9.9288e-01      8.7545e-01      9.5665e-01      4.6694e-01      6.4096e-01
# Distance     Computed     Reference
  2.50000      2.83800682   2.87300000  
  2.75000      2.60404280   2.62600000  
  3.00000      2.34671978   2.35000000  
  3.25000      2.09626595   2.08300000  
  3.50000      1.86525790   1.84000000  
  3.75000      1.65785312   1.62400000  
  4.00000      1.47427254   1.43600000  
  4.25000      1.31296980   1.27200000  
  4.50000      1.17171593   1.13000000  
  4.75000      1.04815694   1.00700000  
  5.00000      0.94003171   0.90000000  
  5.25000      0.84530182   0.80700000  
  5.50000      0.76213981   0.72600000  
  5.75000      0.68897243   0.65500000  
  6.00000      0.62444327   0.59200000  
  6.25000      0.56738408   0.53700000  
  6.50000      0.51679493   0.48800000  
  6.75000      0.47184010   0.44500000  
  7.00000      0.43176747   0.40700000  
  7.25000      0.39596163   0.37300000  
  7.50000      0.36389780   0.34200000  
  7.75000      0.33510025   0.31500000  
  8.00000      0.30918795   0.29100000  
  8.25000      0.28581317   0.26800000  
  8.50000      0.26467903   0.24800000  
  8.75000      0.24553073   0.23000000  
  9.00000      0.22814443   0.21400000  
  9.25000      0.21232203   0.19900000  
  9.50000      0.19790455   0.18500000  
  9.75000      0.18473889   0.17300000  
  10.00000     0.17269062   0.16200000  
