# Run number : 5
# Parameter set number : 1
# Cost function : 0.031599418
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.1970e-01      1.0000e+00      9.4001e-02      9.9288e-01      8.7545e-01      9.5665e-01      4.6694e-01      6.4096e-01
# Distance     Computed     Reference
  2.50000      -14.53679337 -15.27700000
  2.75000      -11.60898444 -11.67100000
  3.00000      -9.43475074  -9.16100000 
  3.25000      -7.78256526  -7.36400000 
  3.50000      -6.50225949  -6.03900000 
  3.75000      -5.49325123  -5.03400000 
  4.00000      -4.68629335  -4.25500000 
  4.25000      -4.03252188  -3.63700000 
  4.50000      -3.49679021  -3.14000000 
  4.75000      -3.05327370  -2.73300000 
  5.00000      -2.68269840  -2.39600000 
  5.25000      -2.37051942  -2.11500000 
  5.50000      -2.10553825  -1.87700000 
  5.75000      -1.87905531  -1.67500000 
  6.00000      -1.68428146  -1.50200000 
  6.25000      -1.51579160  -1.35200000 
  6.50000      -1.36925230  -1.22200000 
  6.75000      -1.24118631  -1.10800000 
  7.00000      -1.12873876  -1.00900000 
  7.25000      -1.02957844  -0.92100000 
  7.50000      -0.94179138  -0.84300000 
  7.75000      -0.86378272  -0.77400000 
  8.00000      -0.79421767  -0.71200000 
  8.25000      -0.73196772  -0.65700000 
  8.50000      -0.67610132  -0.60800000 
  8.75000      -0.62581080  -0.56300000 
  9.00000      -0.58041708  -0.52300000 
  9.25000      -0.53933107  -0.48600000 
  9.50000      -0.50205485  -0.45300000 
  9.75000      -0.46815128  -0.42300000 
  10.00000     -0.43724576  -0.39500000 
