# Run number : 7
# Parameter set number : 1
# Cost function : 0.2526911
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      7.2840e-01      5.8534e-01      2.3337e-01      8.0756e-01      1.0000e+00      1.0000e+00      5.3524e-01      7.0449e-01
# Distance     Computed     Reference
  2.50000      -6.21476555  -10.56000000
  2.75000      -4.58993762  -7.73900000 
  3.00000      -3.46788279  -5.78600000 
  3.25000      -2.67048358  -4.41300000 
  3.50000      -2.08985728  -3.42700000 
  3.75000      -1.65822832  -2.70400000 
  4.00000      -1.33167336  -2.16300000 
  4.25000      -1.08083382  -1.75100000 
  4.50000      -0.88558602  -1.43300000 
  4.75000      -0.73185843  -1.18400000 
  5.00000      -0.60955008  -0.98700000 
  5.25000      -0.51134410  -0.82900000 
  5.50000      -0.43181597  -0.70100000 
  5.75000      -0.36690402  -0.59700000 
  6.00000      -0.31357046  -0.51200000 
  6.25000      -0.26942972  -0.44100000 
  6.50000      -0.23267597  -0.38200000 
  6.75000      -0.20189376  -0.33200000 
  7.00000      -0.17598204  -0.29000000 
  7.25000      -0.15403966  -0.25500000 
  7.50000      -0.13537583  -0.22500000 
  7.75000      -0.11943070  -0.19900000 
  8.00000      -0.10573907  -0.17700000 
  8.25000      -0.09394035  -0.15700000 
  8.50000      -0.08373006  -0.14100000 
  8.75000      -0.07485399  -0.12600000 
  9.00000      -0.06712980  -0.11300000 
  9.25000      -0.06035645  -0.10200000 
  9.50000      -0.05441355  -0.09200000 
  9.75000      -0.04919007  -0.08400000 
  10.00000     -0.04456736  -0.07600000 
