# Run number : 7
# Parameter set number : 1
# Cost function : 0.2526911
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      7.2840e-01      5.8534e-01      2.3337e-01      8.0756e-01      1.0000e+00      1.0000e+00      5.3524e-01      7.0449e-01
# Distance     Computed     Reference
  2.50000      -0.34454203  1.93700000  
  2.75000      0.56937517   2.66300000  
  3.00000      1.05203510   2.87900000  
  3.25000      1.28818950   2.84700000  
  3.50000      1.38216784   2.70000000  
  3.75000      1.39431662   2.50700000  
  4.00000      1.36014013   2.30000000  
  4.25000      1.30086543   2.09900000  
  4.50000      1.22912753   1.90900000  
  4.75000      1.15254484   1.73600000  
  5.00000      1.07562670   1.57800000  
  5.25000      1.00094452   1.43600000  
  5.50000      0.92994182   1.30900000  
  5.75000      0.86333857   1.19600000  
  6.00000      0.80137557   1.09400000  
  6.25000      0.74405046   1.00200000  
  6.50000      0.69123002   0.92000000  
  6.75000      0.64265710   0.84700000  
  7.00000      0.59804649   0.78100000  
  7.25000      0.55711185   0.72100000  
  7.50000      0.51953991   0.66700000  
  7.75000      0.48504317   0.61800000  
  8.00000      0.45336095   0.57400000  
  8.25000      0.42423964   0.53400000  
  8.50000      0.39745247   0.49700000  
  8.75000      0.37278555   0.46400000  
  9.00000      0.35004370   0.43400000  
  9.25000      0.32905624   0.40600000  
  9.50000      0.30966015   0.38000000  
  9.75000      0.29172451   0.35700000  
  10.00000     0.27512542   0.33500000  
