# Run number : 7
# Parameter set number : 1
# Cost function : 0.2526911
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      7.2840e-01      5.8534e-01      2.3337e-01      8.0756e-01      1.0000e+00      1.0000e+00      5.3524e-01      7.0449e-01
# Distance     Computed     Reference
  2.50000      3.01628794   2.87300000  
  2.75000      2.67073955   2.62600000  
  3.00000      2.35122794   2.35000000  
  3.25000      2.06642230   2.08300000  
  3.50000      1.81706951   1.84000000  
  3.75000      1.60071153   1.62400000  
  4.00000      1.41368174   1.43600000  
  4.25000      1.25213822   1.27200000  
  4.50000      1.11249032   1.13000000  
  4.75000      0.99156469   1.00700000  
  5.00000      0.88657484   0.90000000  
  5.25000      0.79517260   0.80700000  
  5.50000      0.71535694   0.72600000  
  5.75000      0.64544358   0.65500000  
  6.00000      0.58400655   0.59200000  
  6.25000      0.52985598   0.53700000  
  6.50000      0.48197500   0.48800000  
  6.75000      0.43952438   0.44500000  
  7.00000      0.40176077   0.40700000  
  7.25000      0.36808336   0.37300000  
  7.50000      0.33797673   0.34200000  
  7.75000      0.31097391   0.31500000  
  8.00000      0.28671141   0.29100000  
  8.25000      0.26484383   0.26800000  
  8.50000      0.24509534   0.24800000  
  8.75000      0.22722047   0.23000000  
  9.00000      0.21101236   0.21400000  
  9.25000      0.19626878   0.19900000  
  9.50000      0.18284364   0.18500000  
  9.75000      0.17059199   0.17300000  
  10.00000     0.15939639   0.16200000  
