# Run number : 7
# Parameter set number : 1
# Cost function : 0.2526911
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      7.2840e-01      5.8534e-01      2.3337e-01      8.0756e-01      1.0000e+00      1.0000e+00      5.3524e-01      7.0449e-01
# Distance     Computed     Reference
  2.50000      -14.24506711 -15.27700000
  2.75000      -11.34633274 -11.67100000
  3.00000      -9.19694713  -9.16100000 
  3.25000      -7.56665610  -7.36400000 
  3.50000      -6.30588961  -6.03900000 
  3.75000      -5.31440790  -5.03400000 
  4.00000      -4.52317308  -4.25500000 
  4.25000      -3.88354324  -3.63700000 
  4.50000      -3.36050854  -3.14000000 
  4.75000      -2.92839568  -2.73300000 
  5.00000      -2.56809553  -2.39600000 
  5.25000      -2.26516023  -2.11500000 
  5.50000      -2.00851045  -1.87700000 
  5.75000      -1.78955066  -1.67500000 
  6.00000      -1.60157412  -1.50200000 
  6.25000      -1.43924339  -1.35200000 
  6.50000      -1.29828115  -1.22200000 
  6.75000      -1.17528202  -1.10800000 
  7.00000      -1.06744082  -1.00900000 
  7.25000      -0.97249236  -0.92100000 
  7.50000      -0.88854022  -0.84300000 
  7.75000      -0.81403922  -0.77400000 
  8.00000      -0.74768785  -0.71200000 
  8.25000      -0.68838860  -0.65700000 
  8.50000      -0.63522219  -0.60800000 
  8.75000      -0.58742536  -0.56300000 
  9.00000      -0.54432664  -0.52300000 
  9.25000      -0.50536380  -0.48600000 
  9.50000      -0.47004946  -0.45300000 
  9.75000      -0.43795114  -0.42300000 
  10.00000     -0.40872639  -0.39500000 
