# Run number : 10
# Parameter set number : 1
# Cost function : 0.0257294628
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.4967e-01      6.8080e-01      1.0000e-08      1.0000e+00      3.5837e-01      4.1861e-01      2.2879e-01      8.8339e-01
# Distance     Computed     Reference
  2.50000      -8.15022083  -10.56000000
  2.75000      -6.12416629  -7.73900000 
  3.00000      -4.69690513  -5.78600000 
  3.25000      -3.66493059  -4.41300000 
  3.50000      -2.90208540  -3.42700000 
  3.75000      -2.32748907  -2.70400000 
  4.00000      -1.88763742  -2.16300000 
  4.25000      -1.54619862  -1.75100000 
  4.50000      -1.27786877  -1.43300000 
  4.75000      -1.06469583  -1.18400000 
  5.00000      -0.89367430  -0.98700000 
  5.25000      -0.75524549  -0.82900000 
  5.50000      -0.64230294  -0.70100000 
  5.75000      -0.54945253  -0.59700000 
  6.00000      -0.47260335  -0.51200000 
  6.25000      -0.40857853  -0.44100000 
  6.50000      -0.35492822  -0.38200000 
  6.75000      -0.30971041  -0.33200000 
  7.00000      -0.27140621  -0.29000000 
  7.25000      -0.23878309  -0.25500000 
  7.50000      -0.21088612  -0.22500000 
  7.75000      -0.18691057  -0.19900000 
  8.00000      -0.16621766  -0.17700000 
  8.25000      -0.14829955  -0.15700000 
  8.50000      -0.13271091  -0.14100000 
  8.75000      -0.11910635  -0.12600000 
  9.00000      -0.10719835  -0.11300000 
  9.25000      -0.09672566  -0.10200000 
  9.50000      -0.08749544  -0.09200000 
  9.75000      -0.07934053  -0.08400000 
  10.00000     -0.07210316  -0.07600000 
