# Run number : 10
# Parameter set number : 1
# Cost function : 0.0257294628
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.4967e-01      6.8080e-01      1.0000e-08      1.0000e+00      3.5837e-01      4.1861e-01      2.2879e-01      8.8339e-01
# Distance     Computed     Reference
  2.50000      2.21271965   1.93700000  
  2.75000      2.59543790   2.66300000  
  3.00000      2.68861441   2.87900000  
  3.25000      2.63078438   2.84700000  
  3.50000      2.49778126   2.70000000  
  3.75000      2.33146659   2.50700000  
  4.00000      2.15486741   2.30000000  
  4.25000      1.98042589   2.09900000  
  4.50000      1.81453900   1.90900000  
  4.75000      1.66023636   1.73600000  
  5.00000      1.51859912   1.57800000  
  5.25000      1.38958989   1.43600000  
  5.50000      1.27267450   1.30900000  
  5.75000      1.16699504   1.19600000  
  6.00000      1.07158607   1.09400000  
  6.25000      0.98548329   1.00200000  
  6.50000      0.90775281   0.92000000  
  6.75000      0.83753088   0.84700000  
  7.00000      0.77402152   0.78100000  
  7.25000      0.71651057   0.72100000  
  7.50000      0.66434350   0.66700000  
  7.75000      0.61696161   0.61800000  
  8.00000      0.57385061   0.57400000  
  8.25000      0.53456401   0.53400000  
  8.50000      0.49870207   0.49700000  
  8.75000      0.46591357   0.46400000  
  9.00000      0.43588466   0.43400000  
  9.25000      0.40834009   0.40600000  
  9.50000      0.38303032   0.38000000  
  9.75000      0.35974320   0.35700000  
  10.00000     0.33828881   0.33500000  
