# Run number : 10
# Parameter set number : 1
# Cost function : 0.0257294628
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.4967e-01      6.8080e-01      1.0000e-08      1.0000e+00      3.5837e-01      4.1861e-01      2.2879e-01      8.8339e-01
# Distance     Computed     Reference
  2.50000      -14.20218287 -15.27700000
  2.75000      -11.27406536 -11.67100000
  3.00000      -9.11694562  -9.16100000 
  3.25000      -7.48979874  -7.36400000 
  3.50000      -6.23716261  -6.03900000 
  3.75000      -5.25561242  -5.03400000 
  4.00000      -4.47445405  -4.25500000 
  4.25000      -3.84424028  -3.63700000 
  4.50000      -3.32962931  -3.14000000 
  4.75000      -2.90484032  -2.73300000 
  5.00000      -2.55079339  -2.39600000 
  5.25000      -2.25312131  -2.11500000 
  5.50000      -2.00087100  -1.87700000 
  5.75000      -1.78555912  -1.67500000 
  6.00000      -1.60057770  -1.50200000 
  6.25000      -1.44068631  -1.35200000 
  6.50000      -1.30172218  -1.22200000 
  6.75000      -1.18031558  -1.10800000 
  7.00000      -1.07375482  -1.00900000 
  7.25000      -0.97980688  -0.92100000 
  7.50000      -0.89663376  -0.84300000 
  7.75000      -0.82272769  -0.77400000 
  8.00000      -0.75680996  -0.71200000 
  8.25000      -0.69782279  -0.65700000 
  8.50000      -0.64486793  -0.60800000 
  8.75000      -0.59719208  -0.56300000 
  9.00000      -0.55413894  -0.52300000 
  9.25000      -0.51516792  -0.48600000 
  9.50000      -0.47979747  -0.45300000 
  9.75000      -0.44761266  -0.42300000 
  10.00000     -0.41826284  -0.39500000 
