# Run number : 11
# Parameter set number : 1
# Cost function : 0.0298864102
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.9647e-01      9.7573e-01      5.6794e-01      4.9949e-01      1.0000e+00      9.6810e-01      5.7625e-01      6.3086e-01
# Distance     Computed     Reference
  2.50000      -7.83670063  -10.56000000
  2.75000      -5.85868720  -7.73900000 
  3.00000      -4.46952861  -5.78600000 
  3.25000      -3.46951214  -4.41300000 
  3.50000      -2.73402800  -3.42700000 
  3.75000      -2.18295081  -2.70400000 
  4.00000      -1.76326609  -2.16300000 
  4.25000      -1.43905697  -1.75100000 
  4.50000      -1.18540289  -1.43300000 
  4.75000      -0.98471069  -1.18400000 
  5.00000      -0.82427872  -0.98700000 
  5.25000      -0.69487851  -0.82900000 
  5.50000      -0.58961282  -0.70100000 
  5.75000      -0.50331836  -0.59700000 
  6.00000      -0.43207662  -0.51200000 
  6.25000      -0.37287263  -0.44100000 
  6.50000      -0.32335588  -0.38200000 
  6.75000      -0.28171760  -0.33200000 
  7.00000      -0.24650845  -0.29000000 
  7.25000      -0.21658006  -0.25500000 
  7.50000      -0.19102367  -0.22500000 
  7.75000      -0.16909940  -0.19900000 
  8.00000      -0.15020824  -0.17700000 
  8.25000      -0.13386513  -0.15700000 
  8.50000      -0.11967148  -0.14100000 
  8.75000      -0.10729594  -0.12600000 
  9.00000      -0.09647845  -0.11300000 
  9.25000      -0.08697706  -0.10200000 
  9.50000      -0.07861002  -0.09200000 
  9.75000      -0.07122771  -0.08400000 
  10.00000     -0.06468637  -0.07600000 
