# Run number : 11
# Parameter set number : 1
# Cost function : 0.0298864102
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.9647e-01      9.7573e-01      5.6794e-01      4.9949e-01      1.0000e+00      9.6810e-01      5.7625e-01      6.3086e-01
# Distance     Computed     Reference
  2.50000      2.25036639   1.93700000  
  2.75000      2.57087267   2.66300000  
  3.00000      2.63527151   2.87900000  
  3.25000      2.56588295   2.84700000  
  3.50000      2.43024179   2.70000000  
  3.75000      2.26582646   2.50700000  
  4.00000      2.09331583   2.30000000  
  4.25000      1.92387572   2.09900000  
  4.50000      1.76322752   1.90900000  
  4.75000      1.61402914   1.73600000  
  5.00000      1.47716422   1.57800000  
  5.25000      1.35254743   1.43600000  
  5.50000      1.23959905   1.30900000  
  5.75000      1.13747983   1.19600000  
  6.00000      1.04524890   1.09400000  
  6.25000      0.96197234   1.00200000  
  6.50000      0.88675017   0.92000000  
  6.75000      0.81875193   0.84700000  
  7.00000      0.75721496   0.78100000  
  7.25000      0.70144381   0.72100000  
  7.50000      0.65083012   0.66700000  
  7.75000      0.60482043   0.61800000  
  8.00000      0.56293260   0.57400000  
  8.25000      0.52473067   0.53400000  
  8.50000      0.48984471   0.49700000  
  8.75000      0.45791821   0.46400000  
  9.00000      0.42866014   0.43400000  
  9.25000      0.40180460   0.40600000  
  9.50000      0.37711606   0.38000000  
  9.75000      0.35438355   0.35700000  
  10.00000     0.33342473   0.33500000  
