# Run number : 11
# Parameter set number : 1
# Cost function : 0.0298864102
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.9647e-01      9.7573e-01      5.6794e-01      4.9949e-01      1.0000e+00      9.6810e-01      5.7625e-01      6.3086e-01
# Distance     Computed     Reference
  2.50000      2.77488200   2.87300000  
  2.75000      2.56487308   2.62600000  
  3.00000      2.32209377   2.35000000  
  3.25000      2.08065510   2.08300000  
  3.50000      1.85534508   1.84000000  
  3.75000      1.65160458   1.62400000  
  4.00000      1.47040723   1.43600000  
  4.25000      1.31066838   1.27200000  
  4.50000      1.17045126   1.13000000  
  4.75000      1.04758363   1.00700000  
  5.00000      0.93991717   0.90000000  
  5.25000      0.84548416   0.80700000  
  5.50000      0.76251734   0.72600000  
  5.75000      0.68947328   0.65500000  
  6.00000      0.62502476   0.59200000  
  6.25000      0.56800356   0.53700000  
  6.50000      0.51743427   0.48800000  
  6.75000      0.47248296   0.44500000  
  7.00000      0.43240623   0.40700000  
  7.25000      0.39658403   0.37300000  
  7.50000      0.36450266   0.34200000  
  7.75000      0.33568583   0.31500000  
  8.00000      0.30975190   0.29100000  
  8.25000      0.28635784   0.26800000  
  8.50000      0.26519565   0.24800000  
  8.75000      0.24602047   0.23000000  
  9.00000      0.22861605   0.21400000  
  9.25000      0.21277261   0.19900000  
  9.50000      0.19833643   0.18500000  
  9.75000      0.18514739   0.17300000  
  10.00000     0.17308276   0.16200000  
