# Run number : 11
# Parameter set number : 1
# Cost function : 0.0298864102
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.9647e-01      9.7573e-01      5.6794e-01      4.9949e-01      1.0000e+00      9.6810e-01      5.7625e-01      6.3086e-01
# Distance     Computed     Reference
  2.50000      -14.34179453 -15.27700000
  2.75000      -11.46190281 -11.67100000
  3.00000      -9.32233884  -9.16100000 
  3.25000      -7.69555079  -7.36400000 
  3.50000      -6.43409411  -6.03900000 
  3.75000      -5.43928008  -5.03400000 
  4.00000      -4.64311865  -4.25500000 
  4.25000      -3.99767858  -3.63700000 
  4.50000      -3.46843156  -3.14000000 
  4.75000      -3.03002282  -2.73300000 
  5.00000      -2.66351094  -2.39600000 
  5.25000      -2.35458773  -2.11500000 
  5.50000      -2.09223350  -1.87700000 
  5.75000      -1.86789711  -1.67500000 
  6.00000      -1.67487124  -1.50200000 
  6.25000      -1.50783072  -1.35200000 
  6.50000      -1.36249707  -1.22200000 
  6.75000      -1.23542633  -1.10800000 
  7.00000      -1.12381976  -1.00900000 
  7.25000      -1.02536599  -0.92100000 
  7.50000      -0.93817854  -0.84300000 
  7.75000      -0.86068007  -0.77400000 
  8.00000      -0.79154281  -0.71200000 
  8.25000      -0.72966338  -0.65700000 
  8.50000      -0.67411314  -0.60800000 
  8.75000      -0.62409788  -0.56300000 
  9.00000      -0.57893793  -0.52300000 
  9.25000      -0.53805939  -0.48600000 
  9.50000      -0.50096025  -0.45300000 
  9.75000      -0.46720629  -0.42300000 
  10.00000     -0.43643576  -0.39500000 
