# Run number : 15
# Parameter set number : 1
# Cost function : 0.025717106
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.6161e-01      1.0000e+00      1.8498e-01      1.0000e+00      7.4831e-01      6.9645e-01      5.2511e-01      6.5174e-01
# Distance     Computed     Reference
  2.50000      -7.92692119  -10.56000000
  2.75000      -5.94943958  -7.73900000 
  3.00000      -4.55997008  -5.78600000 
  3.25000      -3.55688309  -4.41300000 
  3.50000      -2.81598729  -3.42700000 
  3.75000      -2.25810870  -2.70400000 
  4.00000      -1.83106738  -2.16300000 
  4.25000      -1.49951920  -1.75100000 
  4.50000      -1.23892113  -1.43300000 
  4.75000      -1.03186466  -1.18400000 
  5.00000      -0.86572414  -0.98700000 
  5.25000      -0.73124831  -0.82900000 
  5.50000      -0.62153991  -0.70100000 
  5.75000      -0.53135909  -0.59700000 
  6.00000      -0.45674003  -0.51200000 
  6.25000      -0.39459820  -0.44100000 
  6.50000      -0.34254450  -0.38200000 
  6.75000      -0.29869130  -0.33200000 
  7.00000      -0.26155476  -0.29000000 
  7.25000      -0.22995962  -0.25500000 
  7.50000      -0.20294687  -0.22500000 
  7.75000      -0.17974858  -0.19900000 
  8.00000      -0.15974353  -0.17700000 
  8.25000      -0.14242503  -0.15700000 
  8.50000      -0.12737405  -0.14100000 
  8.75000      -0.11424053  -0.12600000 
  9.00000      -0.10275681  -0.11300000 
  9.25000      -0.09266165  -0.10200000 
  9.50000      -0.08377214  -0.09200000 
  9.75000      -0.07592055  -0.08400000 
  10.00000     -0.06896018  -0.07600000 
