# Run number : 15
# Parameter set number : 1
# Cost function : 0.025717106
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.6161e-01      1.0000e+00      1.8498e-01      1.0000e+00      7.4831e-01      6.9645e-01      5.2511e-01      6.5174e-01
# Distance     Computed     Reference
  2.50000      2.13589969   1.93700000  
  2.75000      2.52689557   2.66300000  
  3.00000      2.62809491   2.87900000  
  3.25000      2.57773952   2.84700000  
  3.50000      2.45150391   2.70000000  
  3.75000      2.29121454   2.50700000  
  4.00000      2.11991950   2.30000000  
  4.25000      1.95011354   2.09900000  
  4.50000      1.78826729   1.90900000  
  4.75000      1.63745944   1.73600000  
  5.00000      1.49883543   1.57800000  
  5.25000      1.37244788   1.43600000  
  5.50000      1.25778131   1.30900000  
  5.75000      1.15404678   1.19600000  
  6.00000      1.06032676   1.09400000  
  6.25000      0.97567566   1.00200000  
  6.50000      0.89921220   0.92000000  
  6.75000      0.83008662   0.84700000  
  7.00000      0.76753219   0.78100000  
  7.25000      0.71084176   0.72100000  
  7.50000      0.65939586   0.66700000  
  7.75000      0.61264046   0.61800000  
  8.00000      0.57007881   0.57400000  
  8.25000      0.53126967   0.53400000  
  8.50000      0.49583261   0.49700000  
  8.75000      0.46341403   0.46400000  
  9.00000      0.43370480   0.43400000  
  9.25000      0.40644776   0.40600000  
  9.50000      0.38138812   0.38000000  
  9.75000      0.35832308   0.35700000  
  10.00000     0.33706563   0.33500000  
