# Run number : 15
# Parameter set number : 1
# Cost function : 0.025717106
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.6161e-01      1.0000e+00      1.8498e-01      1.0000e+00      7.4831e-01      6.9645e-01      5.2511e-01      6.5174e-01
# Distance     Computed     Reference
  2.50000      3.05033118   2.87300000  
  2.75000      2.75597857   2.62600000  
  3.00000      2.45734805   2.35000000  
  3.25000      2.17802070   2.08300000  
  3.50000      1.92644597   1.84000000  
  3.75000      1.70417021   1.62400000  
  4.00000      1.50967630   1.43600000  
  4.25000      1.34023969   1.27200000  
  4.50000      1.19288105   1.13000000  
  4.75000      1.06468531   1.00700000  
  5.00000      0.95300744   0.90000000  
  5.25000      0.85553665   0.80700000  
  5.50000      0.77024036   0.72600000  
  5.75000      0.69540273   0.65500000  
  6.00000      0.62955806   0.59200000  
  6.25000      0.57145685   0.53700000  
  6.50000      0.52004193   0.48800000  
  6.75000      0.47442847   0.44500000  
  7.00000      0.43382285   0.40700000  
  7.25000      0.39759331   0.37300000  
  7.50000      0.36518234   0.34200000  
  7.75000      0.33610661   0.31500000  
  8.00000      0.30997281   0.29100000  
  8.25000      0.28641745   0.26800000  
  8.50000      0.26513195   0.24800000  
  8.75000      0.24586092   0.23000000  
  9.00000      0.22838053   0.21400000  
  9.25000      0.21247982   0.19900000  
  9.50000      0.19800098   0.18500000  
  9.75000      0.18477746   0.17300000  
  10.00000     0.17269296   0.16200000  
