# Run number : 15
# Parameter set number : 1
# Cost function : 0.025717106
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.6161e-01      1.0000e+00      1.8498e-01      1.0000e+00      7.4831e-01      6.9645e-01      5.2511e-01      6.5174e-01
# Distance     Computed     Reference
  2.50000      -14.30006391 -15.27700000
  2.75000      -11.38813933 -11.67100000
  3.00000      -9.23618931  -9.16100000 
  3.25000      -7.60737452  -7.36400000 
  3.50000      -6.34917476  -6.03900000 
  3.75000      -5.36009266  -5.03400000 
  4.00000      -4.57064731  -4.25500000 
  4.25000      -3.93206474  -3.63700000 
  4.50000      -3.40941809  -3.14000000 
  4.75000      -2.97711004  -2.73300000 
  5.00000      -2.61616002  -2.39600000 
  5.25000      -2.31222654  -2.11500000 
  5.50000      -2.05432436  -1.87700000 
  5.75000      -1.83393802  -1.67500000 
  6.00000      -1.64441688  -1.50200000 
  6.25000      -1.48047083  -1.35200000 
  6.50000      -1.33787691  -1.22200000 
  6.75000      -1.21322681  -1.10800000 
  7.00000      -1.10376269  -1.00900000 
  7.25000      -1.00721528  -0.92100000 
  7.50000      -0.92171737  -0.84300000 
  7.75000      -0.84572377  -0.77400000 
  8.00000      -0.77792715  -0.71200000 
  8.25000      -0.71724752  -0.65700000 
  8.50000      -0.66276617  -0.60800000 
  8.75000      -0.61370818  -0.56300000 
  9.00000      -0.56940673  -0.52300000 
  9.25000      -0.52930546  -0.48600000 
  9.50000      -0.49290294  -0.45300000 
  9.75000      -0.45978307  -0.42300000 
  10.00000     -0.42958585  -0.39500000 
