# Run number : 18
# Parameter set number : 1
# Cost function : 0.0289063868
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.5498e-01      1.0000e+00      5.7769e-01      4.2872e-01      9.4263e-01      9.3733e-01      5.3270e-01      6.5395e-01
# Distance     Computed     Reference
  2.50000      -8.06022937  -10.56000000
  2.75000      -6.03561716  -7.73900000 
  3.00000      -4.60948274  -5.78600000 
  3.25000      -3.58069677  -4.41300000 
  3.50000      -2.82300376  -3.42700000 
  3.75000      -2.25474248  -2.70400000 
  4.00000      -1.82174365  -2.16300000 
  4.25000      -1.48711210  -1.75100000 
  4.50000      -1.22525170  -1.43300000 
  4.75000      -1.01803803  -1.18400000 
  5.00000      -0.85237731  -0.98700000 
  5.25000      -0.71874245  -0.82900000 
  5.50000      -0.61001528  -0.70100000 
  5.75000      -0.52087121  -0.59700000 
  6.00000      -0.44726903  -0.51200000 
  6.25000      -0.38608797  -0.44100000 
  6.50000      -0.33491499  -0.38200000 
  6.75000      -0.29187295  -0.33200000 
  7.00000      -0.25545933  -0.29000000 
  7.25000      -0.22450938  -0.25500000 
  7.50000      -0.19807169  -0.22500000 
  7.75000      -0.17538535  -0.19900000 
  8.00000      -0.15583264  -0.17700000 
  8.25000      -0.13891387  -0.15700000 
  8.50000      -0.12421646  -0.14100000 
  8.75000      -0.11139560  -0.12600000 
  9.00000      -0.10018831  -0.11300000 
  9.25000      -0.09033919  -0.10200000 
  9.50000      -0.08167117  -0.09200000 
  9.75000      -0.07401478  -0.08400000 
  10.00000     -0.06723091  -0.07600000 
