# Run number : 1
# Parameter set number : 1
# Cost function : 0.0379308312
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      2.5679e-01      6.2883e-01      1.0000e-08      7.5818e-01      6.4213e-01      9.6676e-01      1.5806e-01      9.6431e-01
# Distance     Computed     Reference
  2.50000      2.96269607   2.87300000  
  2.75000      2.64212317   2.62600000  
  3.00000      2.33933513   2.35000000  
  3.25000      2.06576834   2.08300000  
  3.50000      1.82393637   1.84000000  
  3.75000      1.61249798   1.62400000  
  4.00000      1.42859071   1.43600000  
  4.25000      1.26891614   1.27200000  
  4.50000      1.13026058   1.13000000  
  4.75000      1.00970956   1.00700000  
  5.00000      0.90468230   0.90000000  
  5.25000      0.81296214   0.80700000  
  5.50000      0.73263512   0.72600000  
  5.75000      0.66209001   0.65500000  
  6.00000      0.59995694   0.59200000  
  6.25000      0.54507352   0.53700000  
  6.50000      0.49644799   0.48800000  
  6.75000      0.45325664   0.44500000  
  7.00000      0.41477477   0.40700000  
  7.25000      0.38040075   0.37300000  
  7.50000      0.34961649   0.34200000  
  7.75000      0.32198192   0.31500000  
  8.00000      0.29711075   0.29100000  
  8.25000      0.27467279   0.26800000  
  8.50000      0.25438722   0.24800000  
  8.75000      0.23600684   0.23000000  
  9.00000      0.21931628   0.21400000  
  9.25000      0.20412855   0.19900000  
  9.50000      0.19028731   0.18500000  
  9.75000      0.17764119   0.17300000  
  10.00000     0.16607331   0.16200000  
