# Run number : 4
# Parameter set number : 1
# Cost function : 1.05341066
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      3.9467e-01      6.1929e-01      6.5923e-01      9.9730e-01      8.1692e-01      5.5861e-01      5.8465e-01      3.9605e-01
# Distance     Computed     Reference
  2.50000      7.80807855   1.93700000  
  2.75000      6.34343086   2.66300000  
  3.00000      5.26551574   2.87900000  
  3.25000      4.44354282   2.84700000  
  3.50000      3.79873187   2.70000000  
  3.75000      3.28145992   2.50700000  
  4.00000      2.85910465   2.30000000  
  4.25000      2.50928361   2.09900000  
  4.50000      2.21615447   1.90900000  
  4.75000      1.96813005   1.73600000  
  5.00000      1.75649946   1.57800000  
  5.25000      1.57463303   1.43600000  
  5.50000      1.41734280   1.30900000  
  5.75000      1.28051996   1.19600000  
  6.00000      1.16089896   1.09400000  
  6.25000      1.05583080   1.00200000  
  6.50000      0.96312561   0.92000000  
  6.75000      0.88101605   0.84700000  
  7.00000      0.80801830   0.78100000  
  7.25000      0.74289256   0.72100000  
  7.50000      0.68460760   0.66700000  
  7.75000      0.63227792   0.61800000  
  8.00000      0.58515506   0.57400000  
  8.25000      0.54261708   0.53400000  
  8.50000      0.50411243   0.49700000  
  8.75000      0.46917054   0.46400000  
  9.00000      0.43739902   0.43400000  
  9.25000      0.40843170   0.40600000  
  9.50000      0.38196990   0.38000000  
  9.75000      0.35775174   0.35700000  
  10.00000     0.33553896   0.33500000  
