# Run number : 5
# Parameter set number : 1
# Cost function : 0.0225558288
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      4.3264e-01      1.0000e+00      8.5386e-01      4.8551e-01      7.0481e-01      8.7444e-01
# Distance     Computed     Reference
  2.50000      -7.91222319  -10.56000000
  2.75000      -5.87692324  -7.73900000 
  3.00000      -4.46258578  -5.78600000 
  3.25000      -3.45262610  -4.41300000 
  3.50000      -2.71437886  -3.42700000 
  3.75000      -2.16379257  -2.70400000 
  4.00000      -1.74597739  -2.16300000 
  4.25000      -1.42406560  -1.75100000 
  4.50000      -1.17270885  -1.43300000 
  4.75000      -0.97413223  -1.18400000 
  5.00000      -0.81556746  -0.98700000 
  5.25000      -0.68775218  -0.82900000 
  5.50000      -0.58382830  -0.70100000 
  5.75000      -0.49864539  -0.59700000 
  6.00000      -0.42832469  -0.51200000 
  6.25000      -0.36987342  -0.44100000 
  6.50000      -0.32097732  -0.38200000 
  6.75000      -0.27984572  -0.33200000 
  7.00000      -0.24504625  -0.29000000 
  7.25000      -0.21545156  -0.25500000 
  7.50000      -0.19016692  -0.22500000 
  7.75000      -0.16846181  -0.19900000 
  8.00000      -0.14974363  -0.17700000 
  8.25000      -0.13354954  -0.15700000 
  8.50000      -0.11946927  -0.14100000 
  8.75000      -0.10718724  -0.12600000 
  9.00000      -0.09643696  -0.11300000 
  9.25000      -0.08699576  -0.10200000 
  9.50000      -0.07867722  -0.09200000 
  9.75000      -0.07132823  -0.08400000 
  10.00000     -0.06481377  -0.07600000 
