# Run number : 5
# Parameter set number : 1
# Cost function : 0.0225558288
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      4.3264e-01      1.0000e+00      8.5386e-01      4.8551e-01      7.0481e-01      8.7444e-01
# Distance     Computed     Reference
  2.50000      2.61082082   1.93700000  
  2.75000      2.80203852   2.66300000  
  3.00000      2.78441845   2.87900000  
  3.25000      2.66199088   2.84700000  
  3.50000      2.49149648   2.70000000  
  3.75000      2.30387176   2.50700000  
  4.00000      2.11574912   2.30000000  
  4.25000      1.93573814   2.09900000  
  4.50000      1.76788646   1.90900000  
  4.75000      1.61378602   1.73600000  
  5.00000      1.47360748   1.57800000  
  5.25000      1.34677518   1.43600000  
  5.50000      1.23237044   1.30900000  
  5.75000      1.12933487   1.19600000  
  6.00000      1.03657503   1.09400000  
  6.25000      0.95303315   1.00200000  
  6.50000      0.87773618   0.92000000  
  6.75000      0.80979287   0.84700000  
  7.00000      0.74840142   0.78100000  
  7.25000      0.69284768   0.72100000  
  7.50000      0.64248294   0.66700000  
  7.75000      0.59675552   0.61800000  
  8.00000      0.55515465   0.57400000  
  8.25000      0.51725720   0.53400000  
  8.50000      0.48266577   0.49700000  
  8.75000      0.45103733   0.46400000  
  9.00000      0.42206854   0.43400000  
  9.25000      0.39549352   0.40600000  
  9.50000      0.37107731   0.38000000  
  9.75000      0.34860545   0.35700000  
  10.00000     0.32789852   0.33500000  
