# Run number : 5
# Parameter set number : 1
# Cost function : 0.0225558288
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      4.3264e-01      1.0000e+00      8.5386e-01      4.8551e-01      7.0481e-01      8.7444e-01
# Distance     Computed     Reference
  2.50000      2.96817553   2.87300000  
  2.75000      2.66293062   2.62600000  
  3.00000      2.36557763   2.35000000  
  3.25000      2.09274077   2.08300000  
  3.50000      1.84950679   1.84000000  
  3.75000      1.63579503   1.62400000  
  4.00000      1.44936426   1.43600000  
  4.25000      1.28723750   1.27200000  
  4.50000      1.14632493   1.13000000  
  4.75000      1.02376294   1.00700000  
  5.00000      0.91696433   0.90000000  
  5.25000      0.82371184   0.80700000  
  5.50000      0.74206171   0.72600000  
  5.75000      0.67037348   0.65500000  
  6.00000      0.60725977   0.59200000  
  6.25000      0.55153537   0.53700000  
  6.50000      0.50218401   0.48800000  
  6.75000      0.45836645   0.44500000  
  7.00000      0.41933700   0.40700000  
  7.25000      0.38449369   0.37300000  
  7.50000      0.35330121   0.34200000  
  7.75000      0.32531132   0.31500000  
  8.00000      0.30012662   0.29100000  
  8.25000      0.27741281   0.26800000  
  8.50000      0.25688529   0.24800000  
  8.75000      0.23829102   0.23000000  
  9.00000      0.22141199   0.21400000  
  9.25000      0.20605595   0.19900000  
  9.50000      0.19206451   0.18500000  
  9.75000      0.17928543   0.17300000  
  10.00000     0.16759805   0.16200000  
