# Run number : 5
# Parameter set number : 1
# Cost function : 0.0225558288
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      1.0000e+00      4.3264e-01      1.0000e+00      8.5386e-01      4.8551e-01      7.0481e-01      8.7444e-01
# Distance     Computed     Reference
  2.50000      -14.56926571 -15.27700000
  2.75000      -11.54864377 -11.67100000
  3.00000      -9.32934245  -9.16100000 
  3.25000      -7.65817756  -7.36400000 
  3.50000      -6.37311409  -6.03900000 
  3.75000      -5.36692679  -5.03400000 
  4.00000      -4.56662596  -4.25500000 
  4.25000      -3.92125953  -3.63700000 
  4.50000      -3.39446938  -3.14000000 
  4.75000      -2.95978569  -2.73300000 
  5.00000      -2.59762126  -2.39600000 
  5.25000      -2.29324129  -2.11500000 
  5.50000      -2.03539346  -1.87700000 
  5.75000      -1.81538523  -1.67500000 
  6.00000      -1.62645377  -1.50200000 
  6.25000      -1.46320901  -1.35200000 
  6.50000      -1.32138886  -1.22200000 
  6.75000      -1.19754233  -1.10800000 
  7.00000      -1.08888119  -1.00900000 
  7.25000      -0.99312800  -0.92100000 
  7.50000      -0.90839450  -0.84300000 
  7.75000      -0.83313142  -0.77400000 
  8.00000      -0.76603083  -0.71200000 
  8.25000      -0.70601568  -0.65700000 
  8.50000      -0.65215995  -0.60800000 
  8.75000      -0.60369046  -0.56300000 
  9.00000      -0.55994567  -0.52300000 
  9.25000      -0.52036043  -0.48600000 
  9.50000      -0.48444502  -0.45300000 
  9.75000      -0.45178216  -0.42300000 
  10.00000     -0.42200455  -0.39500000 
