# Run number : 7
# Parameter set number : 1
# Cost function : 0.0246025015
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      5.2438e-01      8.9688e-01      1.0000e-08      1.0000e+00      4.4169e-01      4.8520e-01      2.8339e-01      9.6168e-01
# Distance     Computed     Reference
  2.50000      2.96325243   2.87300000  
  2.75000      2.64575705   2.62600000  
  3.00000      2.34343421   2.35000000  
  3.25000      2.06932567   2.08300000  
  3.50000      1.82663110   1.84000000  
  3.75000      1.61430206   1.62400000  
  4.00000      1.42959882   1.43600000  
  4.25000      1.26926503   1.27200000  
  4.50000      1.13008701   1.13000000  
  4.75000      1.00913800   1.00700000  
  5.00000      0.90380744   0.90000000  
  5.25000      0.81186929   0.80700000  
  5.50000      0.73139032   0.72600000  
  5.75000      0.66074995   0.65500000  
  6.00000      0.59855961   0.59200000  
  6.25000      0.54365222   0.53700000  
  6.50000      0.49502202   0.48800000  
  6.75000      0.45184440   0.44500000  
  7.00000      0.41339351   0.40700000  
  7.25000      0.37905748   0.37300000  
  7.50000      0.34832260   0.34200000  
  7.75000      0.32073245   0.31500000  
  8.00000      0.29591066   0.29100000  
  8.25000      0.27352997   0.26800000  
  8.50000      0.25329641   0.24800000  
  8.75000      0.23496658   0.23000000  
  9.00000      0.21833038   0.21400000  
  9.25000      0.20319145   0.19900000  
  9.50000      0.18939462   0.18500000  
  9.75000      0.17679759   0.17300000  
  10.00000     0.16527208   0.16200000  
