# Run number : 8
# Parameter set number : 1
# Cost function : 0.326160974
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      5.0342e-01      9.7064e-01      2.6293e-01      9.3157e-01      4.3144e-01      4.1479e-01      2.7583e-01      8.1225e-01
# Distance     Computed     Reference
  2.50000      -9.85513676  -10.56000000
  2.75000      -7.49698001  -7.73900000 
  3.00000      -5.81117440  -5.78600000 
  3.25000      -4.57634651  -4.41300000 
  3.50000      -3.65314415  -3.42700000 
  3.75000      -2.95083248  -2.70400000 
  4.00000      -2.40851798  -2.16300000 
  4.25000      -1.98425847  -1.75100000 
  4.50000      -1.64853115  -1.43300000 
  4.75000      -1.38012940  -1.18400000 
  5.00000      -1.16355694  -0.98700000 
  5.25000      -0.98734523  -0.82900000 
  5.50000      -0.84286599  -0.70100000 
  5.75000      -0.72355626  -0.59700000 
  6.00000      -0.62438600  -0.51200000 
  6.25000      -0.54144782  -0.44100000 
  6.50000      -0.47168289  -0.38200000 
  6.75000      -0.41268637  -0.33200000 
  7.00000      -0.36254196  -0.29000000 
  7.25000      -0.31971031  -0.25500000 
  7.50000      -0.28296824  -0.22500000 
  7.75000      -0.25131291  -0.19900000 
  8.00000      -0.22392321  -0.17700000 
  8.25000      -0.20013993  -0.15700000 
  8.50000      -0.17941021  -0.14100000 
  8.75000      -0.16127586  -0.12600000 
  9.00000      -0.14536170  -0.11300000 
  9.25000      -0.13135098  -0.10200000 
  9.50000      -0.11897895  -0.09200000 
  9.75000      -0.10802237  -0.08400000 
  10.00000     -0.09829130  -0.07600000 
