# Run number : 11
# Parameter set number : 1
# Cost function : 0.0459309888
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.8869e-01      1.0000e+00      3.5798e-01      1.0000e+00      1.0000e+00      8.4508e-01      6.1324e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -7.36882636  -10.56000000
  2.75000      -5.52763928  -7.73900000 
  3.00000      -4.23270448  -5.78600000 
  3.25000      -3.29778580  -4.41300000 
  3.50000      -2.60767668  -3.42700000 
  3.75000      -2.08857274  -2.70400000 
  4.00000      -1.69176312  -2.16300000 
  4.25000      -1.38415952  -1.75100000 
  4.50000      -1.14271735  -1.43300000 
  4.75000      -0.95114433  -1.18400000 
  5.00000      -0.79763181  -0.98700000 
  5.25000      -0.67352172  -0.82900000 
  5.50000      -0.57235627  -0.70100000 
  5.75000      -0.48926906  -0.59700000 
  6.00000      -0.42056602  -0.51200000 
  6.25000      -0.36337533  -0.44100000 
  6.50000      -0.31548325  -0.38200000 
  6.75000      -0.27515814  -0.33200000 
  7.00000      -0.24101555  -0.29000000 
  7.25000      -0.21195677  -0.25500000 
  7.50000      -0.18711803  -0.22500000 
  7.75000      -0.16578403  -0.19900000 
  8.00000      -0.14738494  -0.17700000 
  8.25000      -0.13145091  -0.15700000 
  8.50000      -0.11759915  -0.14100000 
  8.75000      -0.10551816  -0.12600000 
  9.00000      -0.09494320  -0.11300000 
  9.25000      -0.08565103  -0.10200000 
  9.50000      -0.07745755  -0.09200000 
  9.75000      -0.07022369  -0.08400000 
  10.00000     -0.06380975  -0.07600000 
