# Run number : 11
# Parameter set number : 1
# Cost function : 0.0459309888
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.8869e-01      1.0000e+00      3.5798e-01      1.0000e+00      1.0000e+00      8.4508e-01      6.1324e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      2.81689898   1.93700000  
  2.75000      2.95853154   2.66300000  
  3.00000      2.90092008   2.87900000  
  3.25000      2.74788327   2.84700000  
  3.50000      2.55450208   2.70000000  
  3.75000      2.34994106   2.50700000  
  4.00000      2.14933302   2.30000000  
  4.25000      1.96011168   2.09900000  
  4.50000      1.78547262   1.90900000  
  4.75000      1.62634857   1.73600000  
  5.00000      1.48245082   1.57800000  
  5.25000      1.35285484   1.43600000  
  5.50000      1.23639646   1.30900000  
  5.75000      1.13184142   1.19600000  
  6.00000      1.03794607   1.09400000  
  6.25000      0.95356731   1.00200000  
  6.50000      0.87765962   0.92000000  
  6.75000      0.80926514   0.84700000  
  7.00000      0.74755169   0.78100000  
  7.25000      0.69176651   0.72100000  
  7.50000      0.64125158   0.66700000  
  7.75000      0.59541838   0.61800000  
  8.00000      0.55376374   0.57400000  
  8.25000      0.51583123   0.53400000  
  8.50000      0.48123513   0.49700000  
  8.75000      0.44961720   0.46400000  
  9.00000      0.42067063   0.43400000  
  9.25000      0.39413067   0.40600000  
  9.50000      0.36974836   0.38000000  
  9.75000      0.34731916   0.35700000  
  10.00000     0.32665840   0.33500000  
