# Run number : 11
# Parameter set number : 1
# Cost function : 0.0459309888
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.8869e-01      1.0000e+00      3.5798e-01      1.0000e+00      1.0000e+00      8.4508e-01      6.1324e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      3.34815287   2.87300000  
  2.75000      2.92657816   2.62600000  
  3.00000      2.55260975   2.35000000  
  3.25000      2.22803829   2.08300000  
  3.50000      1.94907211   1.84000000  
  3.75000      1.71020720   1.62400000  
  4.00000      1.50574203   1.43600000  
  4.25000      1.33048466   1.27200000  
  4.50000      1.17987785   1.13000000  
  4.75000      1.05005979   1.00700000  
  5.00000      0.93776945   0.90000000  
  5.25000      0.84031269   0.80700000  
  5.50000      0.75541380   0.72600000  
  5.75000      0.68119506   0.65500000  
  6.00000      0.61608791   0.59200000  
  6.25000      0.55877625   0.53700000  
  6.50000      0.50815905   0.48800000  
  6.75000      0.46332637   0.44500000  
  7.00000      0.42347406   0.40700000  
  7.25000      0.38795926   0.37300000  
  7.50000      0.35621744   0.34200000  
  7.75000      0.32776995   0.31500000  
  8.00000      0.30220771   0.29100000  
  8.25000      0.27918767   0.26800000  
  8.50000      0.25839717   0.24800000  
  8.75000      0.23958724   0.23000000  
  9.00000      0.22252354   0.21400000  
  9.25000      0.20701088   0.19900000  
  9.50000      0.19288619   0.18500000  
  9.75000      0.17999579   0.17300000  
  10.00000     0.16821109   0.16200000  
