# Run number : 11
# Parameter set number : 1
# Cost function : 0.0459309888
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.8869e-01      1.0000e+00      3.5798e-01      1.0000e+00      1.0000e+00      8.4508e-01      6.1324e-01      1.0000e+00
# Distance     Computed     Reference
  2.50000      -13.75938226 -15.27700000
  2.75000      -10.99348737 -11.67100000
  3.00000      -8.93992800  -9.16100000 
  3.25000      -7.37939606  -7.36400000 
  3.50000      -6.16983527  -6.03900000 
  3.75000      -5.21626504  -5.03400000 
  4.00000      -4.45327316  -4.25500000 
  4.25000      -3.83481194  -3.63700000 
  4.50000      -3.32773113  -3.14000000 
  4.75000      -2.90767414  -2.73300000 
  5.00000      -2.55649376  -2.39600000 
  5.25000      -2.26047206  -2.11500000 
  5.50000      -2.00904110  -1.87700000 
  5.75000      -1.79402084  -1.67500000 
  6.00000      -1.60898098  -1.50200000 
  6.25000      -1.44882310  -1.35200000 
  6.50000      -1.30945572  -1.22200000 
  6.75000      -1.18757866  -1.10800000 
  7.00000      -1.08051006  -1.00900000 
  7.25000      -0.98604725  -0.92100000 
  7.50000      -0.90237446  -0.84300000 
  7.75000      -0.82798624  -0.77400000 
  8.00000      -0.76160916  -0.71200000 
  8.25000      -0.70219303  -0.65700000 
  8.50000      -0.64883960  -0.60800000 
  8.75000      -0.60079616  -0.56300000 
  9.00000      -0.55741223  -0.52300000 
  9.25000      -0.51813089  -0.48600000 
  9.50000      -0.48247292  -0.45300000 
  9.75000      -0.45003038  -0.42300000 
  10.00000     -0.42044300  -0.39500000 
