# Run number : 12
# Parameter set number : 1
# Cost function : 0.0129349291
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      7.9850e-01      1.0000e+00      3.3876e-01      7.0012e-01      4.6544e-01      2.9628e-01      4.1037e-01      7.2960e-01
# Distance     Computed     Reference
  2.50000      -9.42127651  -10.56000000
  2.75000      -7.01746773  -7.73900000 
  3.00000      -5.34569856  -5.78600000 
  3.25000      -4.14961610  -4.41300000 
  3.50000      -3.27304057  -3.42700000 
  3.75000      -2.61733352  -2.70400000 
  4.00000      -2.11815691  -2.16300000 
  4.25000      -1.73235413  -1.75100000 
  4.50000      -1.43016570  -1.43300000 
  4.75000      -1.19072339  -1.18400000 
  5.00000      -0.99899142  -0.98700000 
  5.25000      -0.84403890  -0.82900000 
  5.50000      -0.71773667  -0.70100000 
  5.75000      -0.61398461  -0.59700000 
  6.00000      -0.52816118  -0.51200000 
  6.25000      -0.45668276  -0.44100000 
  6.50000      -0.39678799  -0.38200000 
  6.75000      -0.34631455  -0.33200000 
  7.00000      -0.30355712  -0.29000000 
  7.25000      -0.26714233  -0.25500000 
  7.50000      -0.23599018  -0.22500000 
  7.75000      -0.20921529  -0.19900000 
  8.00000      -0.18610700  -0.17700000 
  8.25000      -0.16608383  -0.15700000 
  8.50000      -0.14866831  -0.14100000 
  8.75000      -0.13345779  -0.12600000 
  9.00000      -0.12013959  -0.11300000 
  9.25000      -0.10843263  -0.10200000 
  9.50000      -0.09810254  -0.09200000 
  9.75000      -0.08897868  -0.08400000 
  10.00000     -0.08088163  -0.07600000 
