# Run number : 12
# Parameter set number : 1
# Cost function : 0.0129349291
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      7.9850e-01      1.0000e+00      3.3876e-01      7.0012e-01      4.6544e-01      2.9628e-01      4.1037e-01      7.2960e-01
# Distance     Computed     Reference
  2.50000      -15.44730695 -15.27700000
  2.75000      -12.08170934 -11.67100000
  3.00000      -9.65344989  -9.16100000 
  3.25000      -7.85370940  -7.36400000 
  3.50000      -6.48860526  -6.03900000 
  3.75000      -5.43224666  -5.03400000 
  4.00000      -4.60042901  -4.25500000 
  4.25000      -3.93534681  -3.63700000 
  4.50000      -3.39638099  -3.14000000 
  4.75000      -2.95437344  -2.73300000 
  5.00000      -2.58800124  -2.39600000 
  5.25000      -2.28142211  -2.11500000 
  5.50000      -2.02265501  -1.87700000 
  5.75000      -1.80254626  -1.67500000 
  6.00000      -1.61399816  -1.50200000 
  6.25000      -1.45144010  -1.35200000 
  6.50000      -1.31045507  -1.22200000 
  6.75000      -1.18751730  -1.10800000 
  7.00000      -1.07978305  -1.00900000 
  7.25000      -0.98492517  -0.92100000 
  7.50000      -0.90105076  -0.84300000 
  7.75000      -0.82659183  -0.77400000 
  8.00000      -0.76023930  -0.71200000 
  8.25000      -0.70090674  -0.65700000 
  8.50000      -0.64767253  -0.60800000 
  8.75000      -0.59976817  -0.56300000 
  9.00000      -0.55653503  -0.52300000 
  9.25000      -0.51740447  -0.48600000 
  9.50000      -0.48190604  -0.45300000 
  9.75000      -0.44961253  -0.42300000 
  10.00000     -0.42016628  -0.39500000 
