# Run number : 16
# Parameter set number : 1
# Cost function : 0.0159404758
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.8516e-01      9.8840e-01      2.7173e-01      7.9279e-01      6.5869e-01      6.3173e-01      4.7916e-01      5.8209e-01
# Distance     Computed     Reference
  2.50000      -8.30870203  -10.56000000
  2.75000      -6.23438197  -7.73900000 
  3.00000      -4.77711468  -5.78600000 
  3.25000      -3.72546179  -4.41300000 
  3.50000      -2.94905469  -3.42700000 
  3.75000      -2.36466360  -2.70400000 
  4.00000      -1.91748808  -2.16300000 
  4.25000      -1.57039567  -1.75100000 
  4.50000      -1.29761609  -1.43300000 
  4.75000      -1.08087941  -1.18400000 
  5.00000      -0.90698606  -0.98700000 
  5.25000      -0.76621492  -0.82900000 
  5.50000      -0.65135901  -0.70100000 
  5.75000      -0.55693185  -0.59700000 
  6.00000      -0.47878994  -0.51200000 
  6.25000      -0.41370617  -0.44100000 
  6.50000      -0.35917457  -0.38200000 
  6.75000      -0.31323150  -0.33200000 
  7.00000      -0.27432594  -0.29000000 
  7.25000      -0.24120607  -0.25500000 
  7.50000      -0.21288949  -0.22500000 
  7.75000      -0.18857498  -0.19900000 
  8.00000      -0.16759863  -0.17700000 
  8.25000      -0.14944149  -0.15700000 
  8.50000      -0.13365474  -0.14100000 
  8.75000      -0.11988479  -0.12600000 
  9.00000      -0.10783594  -0.11300000 
  9.25000      -0.09724520  -0.10200000 
  9.50000      -0.08791972  -0.09200000 
  9.75000      -0.07968768  -0.08400000 
  10.00000     -0.07237959  -0.07600000 
