# Run number : 17
# Parameter set number : 1
# Cost function : 0.953438833
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.5576e-01      6.4798e-01      4.9055e-02      8.0993e-01      4.5767e-01      4.7506e-01      2.5814e-01      8.7982e-01
# Distance     Computed     Reference
  2.50000      6.59648971   1.93700000  
  2.75000      5.75102279   2.66300000  
  3.00000      5.03771363   2.87900000  
  3.25000      4.43177318   2.84700000  
  3.50000      3.91447390   2.70000000  
  3.75000      3.47100444   2.50700000  
  4.00000      3.08938986   2.30000000  
  4.25000      2.75975914   2.09900000  
  4.50000      2.47396730   1.90900000  
  4.75000      2.22528512   1.73600000  
  5.00000      2.00807872   1.57800000  
  5.25000      1.81769104   1.43600000  
  5.50000      1.65022565   1.30900000  
  5.75000      1.50241131   1.19600000  
  6.00000      1.37151135   1.09400000  
  6.25000      1.25521720   1.00200000  
  6.50000      1.15157544   0.92000000  
  6.75000      1.05894404   0.84700000  
  7.00000      0.97591381   0.78100000  
  7.25000      0.90128642   0.72100000  
  7.50000      0.83403609   0.66700000  
  7.75000      0.77327873   0.61800000  
  8.00000      0.71825329   0.57400000  
  8.25000      0.66830787   0.53400000  
  8.50000      0.62287471   0.49700000  
  8.75000      0.58145690   0.46400000  
  9.00000      0.54362205   0.43400000  
  9.25000      0.50898965   0.40600000  
  9.50000      0.47722905   0.38000000  
  9.75000      0.44805485   0.35700000  
  10.00000     0.42121004   0.33500000  
