# Run number : 19
# Parameter set number : 1
# Cost function : 0.0108066876
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      3.7148e-01      6.3820e-01      1.0740e-02      1.0000e+00      2.7272e-01      3.2442e-01      2.1969e-01      6.5764e-01
# Distance     Computed     Reference
  2.50000      -9.11941769  -10.56000000
  2.75000      -6.84883294  -7.73900000 
  3.00000      -5.24861349  -5.78600000 
  3.25000      -4.09228515  -4.41300000 
  3.50000      -3.23843044  -3.42700000 
  3.75000      -2.59606322  -2.70400000 
  4.00000      -2.10490592  -2.16300000 
  4.25000      -1.72399585  -1.75100000 
  4.50000      -1.42486390  -1.43300000 
  4.75000      -1.18733847  -1.18400000 
  5.00000      -0.99683727  -0.98700000 
  5.25000      -0.84266670  -0.82900000 
  5.50000      -0.71687174  -0.70100000 
  5.75000      -0.61344461  -0.59700000 
  6.00000      -0.52782690  -0.51200000 
  6.25000      -0.45648347  -0.44100000 
  6.50000      -0.39667053  -0.38200000 
  6.75000      -0.34625436  -0.33200000 
  7.00000      -0.30352615  -0.29000000 
  7.25000      -0.26712655  -0.25500000 
  7.50000      -0.23598317  -0.22500000 
  7.75000      -0.20921529  -0.19900000 
  8.00000      -0.18610583  -0.17700000 
  8.25000      -0.16608091  -0.15700000 
  8.50000      -0.14866130  -0.14100000 
  8.75000      -0.13344902  -0.12600000 
  9.00000      -0.12012849  -0.11300000 
  9.25000      -0.10841626  -0.10200000 
  9.50000      -0.09808851  -0.09200000 
  9.75000      -0.08895939  -0.08400000 
  10.00000     -0.08086410  -0.07600000 
