# Run number : 19
# Parameter set number : 1
# Cost function : 0.0108066876
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      3.7148e-01      6.3820e-01      1.0740e-02      1.0000e+00      2.7272e-01      3.2442e-01      2.1969e-01      6.5764e-01
# Distance     Computed     Reference
  2.50000      2.33399476   1.93700000  
  2.75000      2.71903663   2.66300000  
  3.00000      2.81468756   2.87900000  
  3.25000      2.75666700   2.84700000  
  3.50000      2.62067403   2.70000000  
  3.75000      2.44922704   2.50700000  
  4.00000      2.26612451   2.30000000  
  4.25000      2.08447366   2.09900000  
  4.50000      1.91114018   1.90900000  
  4.75000      1.74947393   1.73600000  
  5.00000      1.60074776   1.57800000  
  5.25000      1.46506453   1.43600000  
  5.50000      1.34192514   1.30900000  
  5.75000      1.23050557   1.19600000  
  6.00000      1.12983454   1.09400000  
  6.25000      1.03892321   1.00200000  
  6.50000      0.95682132   0.92000000  
  6.75000      0.88261953   0.84700000  
  7.00000      0.81550083   0.78100000  
  7.25000      0.75470899   0.72100000  
  7.50000      0.69957194   0.66700000  
  7.75000      0.64948538   0.61800000  
  8.00000      0.60392101   0.57400000  
  8.25000      0.56240254   0.53400000  
  8.50000      0.52451503   0.49700000  
  8.75000      0.48987568   0.46400000  
  9.00000      0.45815548   0.43400000  
  9.25000      0.42906981   0.40600000  
  9.50000      0.40235102   0.38000000  
  9.75000      0.37777469   0.35700000  
  10.00000     0.35513160   0.33500000  
