# Run number : 19
# Parameter set number : 1
# Cost function : 0.0108066876
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      3.7148e-01      6.3820e-01      1.0740e-02      1.0000e+00      2.7272e-01      3.2442e-01      2.1969e-01      6.5764e-01
# Distance     Computed     Reference
  2.50000      2.84374342   2.87300000  
  2.75000      2.59981749   2.62600000  
  3.00000      2.33907916   2.35000000  
  3.25000      2.08785391   2.08300000  
  3.50000      1.85710767   1.84000000  
  3.75000      1.65031302   1.62400000  
  4.00000      1.46740686   1.43600000  
  4.25000      1.30675164   1.27200000  
  4.50000      1.16607751   1.13000000  
  4.75000      1.04303163   1.00700000  
  5.00000      0.93536050   0.90000000  
  5.25000      0.84102684   0.80700000  
  5.50000      0.75821781   0.72600000  
  5.75000      0.68536953   0.65500000  
  6.00000      0.62112614   0.59200000  
  6.25000      0.56432760   0.53700000  
  6.50000      0.51397805   0.48800000  
  6.75000      0.46923537   0.44500000  
  7.00000      0.42935735   0.40700000  
  7.25000      0.39373794   0.37300000  
  7.50000      0.36183949   0.34200000  
  7.75000      0.33319623   0.31500000  
  8.00000      0.30742594   0.29100000  
  8.25000      0.28418149   0.26800000  
  8.50000      0.26316540   0.24800000  
  8.75000      0.24412814   0.23000000  
  9.00000      0.22684762   0.21400000  
  9.25000      0.21112339   0.19900000  
  9.50000      0.19679241   0.18500000  
  9.75000      0.18370623   0.17300000  
  10.00000     0.17173511   0.16200000  
