# Run number : 19
# Parameter set number : 1
# Cost function : 0.0108066876
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      3.7148e-01      6.3820e-01      1.0740e-02      1.0000e+00      2.7272e-01      3.2442e-01      2.1969e-01      6.5764e-01
# Distance     Computed     Reference
  2.50000      -14.71956746 -15.27700000
  2.75000      -11.63892744 -11.67100000
  3.00000      -9.37846122  -9.16100000 
  3.25000      -7.68040163  -7.36400000 
  3.50000      -6.37841997  -6.03900000 
  3.75000      -5.36206798  -5.03400000 
  4.00000      -4.55602879  -4.25500000 
  4.25000      -3.90778705  -3.63700000 
  4.50000      -3.37994028  -3.14000000 
  4.75000      -2.94531737  -2.73300000 
  5.00000      -2.58385424  -2.39600000 
  5.25000      -2.28053965  -2.11500000 
  5.50000      -2.02393312  -1.87700000 
  5.75000      -1.80522462  -1.67500000 
  6.00000      -1.61755490  -1.50200000 
  6.25000      -1.45551872  -1.35200000 
  6.50000      -1.31482005  -1.22200000 
  6.75000      -1.19199274  -1.10800000 
  7.00000      -1.08425848  -1.00900000 
  7.25000      -0.98932522  -0.92100000 
  7.50000      -0.90532808  -0.84300000 
  7.75000      -0.83071428  -0.77400000 
  8.00000      -0.76418935  -0.71200000 
  8.25000      -0.70466919  -0.65700000 
  8.50000      -0.65125323  -0.60800000 
  8.75000      -0.60316244  -0.56300000 
  9.00000      -0.55975281  -0.52300000 
  9.25000      -0.52045043  -0.48600000 
  9.50000      -0.48478369  -0.45300000 
  9.75000      -0.45233122  -0.42300000 
  10.00000     -0.42273594  -0.39500000 
