# Run number : 20
# Parameter set number : 1
# Cost function : 0.0202564667
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      8.3372e-01      9.6918e-01      2.5596e-01      7.0588e-01      7.7802e-01      9.1537e-01      4.2603e-01      5.4666e-01
# Distance     Computed     Reference
  2.50000      -14.46895117 -15.27700000
  2.75000      -11.56077268 -11.67100000
  3.00000      -9.40162386  -9.16100000 
  3.25000      -7.76087184  -7.36400000 
  3.50000      -6.48915578  -6.03900000 
  3.75000      -5.48656788  -5.03400000 
  4.00000      -4.68436245  -4.25500000 
  4.25000      -4.03411733  -3.63700000 
  4.50000      -3.50095591  -3.14000000 
  4.75000      -3.05928439  -2.73300000 
  5.00000      -2.69003454  -2.39600000 
  5.25000      -2.37876433  -2.11500000 
  5.50000      -2.11436757  -1.87700000 
  5.75000      -1.88824755  -1.67500000 
  6.00000      -1.69365545  -1.50200000 
  6.25000      -1.52521059  -1.35200000 
  6.50000      -1.37862103  -1.22200000 
  6.75000      -1.25042881  -1.10800000 
  7.00000      -1.13779717  -1.00900000 
  7.25000      -1.03841944  -0.92100000 
  7.50000      -0.95038985  -0.84300000 
  7.75000      -0.87212230  -0.77400000 
  8.00000      -0.80227848  -0.71200000 
  8.25000      -0.73975853  -0.65700000 
  8.50000      -0.68361161  -0.60800000 
  8.75000      -0.63304350  -0.56300000 
  9.00000      -0.58737627  -0.52300000 
  9.25000      -0.54602728  -0.48600000 
  9.50000      -0.50849275  -0.45300000 
  9.75000      -0.47433613  -0.42300000 
  10.00000     -0.44318866  -0.39500000 
