# Run number : 2
# Parameter set number : 1
# Cost function : 0.113272886
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.7703e-01      1.0000e-08      2.4615e-01      1.0000e+00      1.0000e+00      1.0000e+00      5.0414e-01      6.7765e-01
# Distance     Computed     Reference
  2.50000      4.36146358   1.93700000  
  2.75000      4.02535055   2.66300000  
  3.00000      3.66030672   2.87900000  
  3.25000      3.30370006   2.84700000  
  3.50000      2.97191344   2.70000000  
  3.75000      2.67089383   2.50700000  
  4.00000      2.40149333   2.30000000  
  4.25000      2.16213108   2.09900000  
  4.50000      1.95020821   1.90900000  
  4.75000      1.76283187   1.73600000  
  5.00000      1.59713813   1.57800000  
  5.25000      1.45045858   1.43600000  
  5.50000      1.32041318   1.30900000  
  5.75000      1.20488110   1.19600000  
  6.00000      1.10202173   1.09400000  
  6.25000      1.01022559   1.00200000  
  6.50000      0.92811815   0.92000000  
  6.75000      0.85449172   0.84700000  
  7.00000      0.78832036   0.78100000  
  7.25000      0.72869997   0.72100000  
  7.50000      0.67486587   0.66700000  
  7.75000      0.62614274   0.61800000  
  8.00000      0.58194152   0.57400000  
  8.25000      0.54177158   0.53400000  
  8.50000      0.50518702   0.49700000  
  8.75000      0.47179393   0.46400000  
  9.00000      0.44126418   0.43400000  
  9.25000      0.41329475   0.40600000  
  9.50000      0.38762337   0.38000000  
  9.75000      0.36402783   0.35700000  
  10.00000     0.34230051   0.33500000  
