# Run number : 2
# Parameter set number : 1
# Cost function : 0.113272886
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.7703e-01      1.0000e-08      2.4615e-01      1.0000e+00      1.0000e+00      1.0000e+00      5.0414e-01      6.7765e-01
# Distance     Computed     Reference
  2.50000      3.05307091   2.87300000  
  2.75000      2.68668877   2.62600000  
  3.00000      2.36580087   2.35000000  
  3.25000      2.08614684   2.08300000  
  3.50000      1.84314720   1.84000000  
  3.75000      1.63228300   1.62400000  
  4.00000      1.44931430   1.43600000  
  4.25000      1.29041349   1.27200000  
  4.50000      1.15218689   1.13000000  
  4.75000      1.03171096   1.00700000  
  5.00000      0.92644673   0.90000000  
  5.25000      0.83425174   0.80700000  
  5.50000      0.75327689   0.72600000  
  5.75000      0.68196415   0.65500000  
  6.00000      0.61899216   0.59200000  
  6.25000      0.56323065   0.53700000  
  6.50000      0.51370747   0.48800000  
  6.75000      0.46963073   0.44500000  
  7.00000      0.43027838   0.40700000  
  7.25000      0.39506514   0.37300000  
  7.50000      0.36347410   0.34200000  
  7.75000      0.33506752   0.31500000  
  8.00000      0.30946642   0.29100000  
  8.25000      0.28633622   0.26800000  
  8.50000      0.26540341   0.24800000  
  8.75000      0.24640589   0.23000000  
  9.00000      0.22914056   0.21400000  
  9.25000      0.21341196   0.19900000  
  9.50000      0.19906096   0.18500000  
  9.75000      0.18594351   0.17300000  
  10.00000     0.17392885   0.16200000  
