# Run number : 2
# Parameter set number : 1
# Cost function : 0.113272886
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.7703e-01      1.0000e-08      2.4615e-01      1.0000e+00      1.0000e+00      1.0000e+00      5.0414e-01      6.7765e-01
# Distance     Computed     Reference
  2.50000      -14.19451303 -15.27700000
  2.75000      -11.40780659 -11.67100000
  3.00000      -9.31797532  -9.16100000 
  3.25000      -7.71752269  -7.36400000 
  3.50000      -6.46948618  -6.03900000 
  3.75000      -5.48083274  -5.03400000 
  4.00000      -4.68673283  -4.25500000 
  4.25000      -4.04105344  -3.63700000 
  4.50000      -3.51030360  -3.14000000 
  4.75000      -3.06973224  -2.73300000 
  5.00000      -2.70077021  -2.39600000 
  5.25000      -2.38930247  -2.11500000 
  5.50000      -2.12445367  -1.87700000 
  5.75000      -1.89772819  -1.67500000 
  6.00000      -1.70245905  -1.50200000 
  6.25000      -1.53332400  -1.35200000 
  6.50000      -1.38605609  -1.22200000 
  6.75000      -1.25720800  -1.10800000 
  7.00000      -1.14397442  -1.00900000 
  7.25000      -1.04403215  -0.92100000 
  7.50000      -0.95548418  -0.84300000 
  7.75000      -0.87673887  -0.77400000 
  8.00000      -0.80646347  -0.71200000 
  8.25000      -0.74354875  -0.65700000 
  8.50000      -0.68704372  -0.60800000 
  8.75000      -0.63615374  -0.56300000 
  9.00000      -0.59019914  -0.52300000 
  9.25000      -0.54858321  -0.48600000 
  9.50000      -0.51081156  -0.45300000 
  9.75000      -0.47644031  -0.42300000 
  10.00000     -0.44509764  -0.39500000 
