# Run number : 4
# Parameter set number : 1
# Cost function : 0.0124163468
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      9.9945e-01      7.7561e-01      4.7197e-01      9.3059e-01      8.1470e-01      4.6453e-01      7.2993e-01      5.5631e-01
# Distance     Computed     Reference
  2.50000      2.77871224   2.87300000  
  2.75000      2.57694589   2.62600000  
  3.00000      2.33824462   2.35000000  
  3.25000      2.09823309   2.08300000  
  3.50000      1.87278981   1.84000000  
  3.75000      1.66809321   1.62400000  
  4.00000      1.48554354   1.43600000  
  4.25000      1.32431677   1.27200000  
  4.50000      1.18261992   1.13000000  
  4.75000      1.05836781   1.00700000  
  5.00000      0.94943200   0.90000000  
  5.25000      0.85386874   0.80700000  
  5.50000      0.76989673   0.72600000  
  5.75000      0.69597780   0.65500000  
  6.00000      0.63075260   0.59200000  
  6.25000      0.57307217   0.53700000  
  6.50000      0.52191965   0.48800000  
  6.75000      0.47646164   0.44500000  
  7.00000      0.43594661   0.40700000  
  7.25000      0.39975097   0.37300000  
  7.50000      0.36733298   0.34200000  
  7.75000      0.33822920   0.31500000  
  8.00000      0.31203813   0.29100000  
  8.25000      0.28842082   0.26800000  
  8.50000      0.26706519   0.24800000  
  8.75000      0.24772462   0.23000000  
  9.00000      0.23016826   0.21400000  
  9.25000      0.21418689   0.19900000  
  9.50000      0.19963383   0.18500000  
  9.75000      0.18633960   0.17300000  
  10.00000     0.17418029   0.16200000  
