# Run number : 7
# Parameter set number : 1
# Cost function : 0.0195426047
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      9.0297e-01      3.3342e-01      1.0000e+00      9.4417e-01      7.2773e-01      6.8235e-01      6.7109e-01
# Distance     Computed     Reference
  2.50000      -7.77139128  -10.56000000
  2.75000      -5.80800688  -7.73900000 
  3.00000      -4.43406641  -5.78600000 
  3.25000      -3.44639859  -4.41300000 
  3.50000      -2.71997052  -3.42700000 
  3.75000      -2.17513837  -2.70400000 
  4.00000      -1.75961701  -2.16300000 
  4.25000      -1.43808333  -1.75100000 
  4.50000      -1.18608899  -1.43300000 
  4.75000      -0.98637861  -1.18400000 
  5.00000      -0.82648897  -0.98700000 
  5.25000      -0.69733247  -0.82900000 
  5.50000      -0.59214041  -0.70100000 
  5.75000      -0.50580386  -0.59700000 
  6.00000      -0.43445869  -0.51200000 
  6.25000      -0.37511327  -0.44100000 
  6.50000      -0.32544340  -0.38200000 
  6.75000      -0.28364792  -0.33200000 
  7.00000      -0.24827864  -0.29000000 
  7.25000      -0.21820064  -0.25500000 
  7.50000      -0.19250457  -0.22500000 
  7.75000      -0.17045466  -0.19900000 
  8.00000      -0.15143726  -0.17700000 
  8.25000      -0.13499129  -0.15700000 
  8.50000      -0.12069946  -0.14100000 
  8.75000      -0.10823101  -0.12600000 
  9.00000      -0.09733111  -0.11300000 
  9.25000      -0.08775784  -0.10200000 
  9.50000      -0.07932826  -0.09200000 
  9.75000      -0.07188167  -0.08400000 
  10.00000     -0.06528481  -0.07600000 
