# Run number : 7
# Parameter set number : 1
# Cost function : 0.0195426047
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      9.0297e-01      3.3342e-01      1.0000e+00      9.4417e-01      7.2773e-01      6.8235e-01      6.7109e-01
# Distance     Computed     Reference
  2.50000      2.30667695   1.93700000  
  2.75000      2.61237419   2.66300000  
  3.00000      2.66474347   2.87900000  
  3.25000      2.58648118   2.84700000  
  3.50000      2.44456108   2.70000000  
  3.75000      2.27577785   2.50700000  
  4.00000      2.10024113   2.30000000  
  4.25000      1.92871115   2.09900000  
  4.50000      1.76661244   1.90900000  
  4.75000      1.61639484   1.73600000  
  5.00000      1.47883681   1.57800000  
  5.25000      1.35372327   1.43600000  
  5.50000      1.24042307   1.30900000  
  5.75000      1.13805256   1.19600000  
  6.00000      1.04563928   1.09400000  
  6.25000      0.96223649   1.00200000  
  6.50000      0.88691614   0.92000000  
  6.75000      0.81884835   0.84700000  
  7.00000      0.75725937   0.78100000  
  7.25000      0.70145609   0.72100000  
  7.50000      0.65081200   0.66700000  
  7.75000      0.60478244   0.61800000  
  8.00000      0.56288001   0.57400000  
  8.25000      0.52466873   0.53400000  
  8.50000      0.48977107   0.49700000  
  8.75000      0.45784107   0.46400000  
  9.00000      0.42857891   0.43400000  
  9.25000      0.40171869   0.40600000  
  9.50000      0.37702839   0.38000000  
  9.75000      0.35429589   0.35700000  
  10.00000     0.33333357   0.33500000  
