# Run number : 7
# Parameter set number : 1
# Cost function : 0.0195426047
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      9.0297e-01      3.3342e-01      1.0000e+00      9.4417e-01      7.2773e-01      6.8235e-01      6.7109e-01
# Distance     Computed     Reference
  2.50000      2.98653546   2.87300000  
  2.75000      2.70601240   2.62600000  
  3.00000      2.41867157   2.35000000  
  3.25000      2.14822029   2.08300000  
  3.50000      1.90353814   1.84000000  
  3.75000      1.68655834   1.62400000  
  4.00000      1.49612960   1.43600000  
  4.25000      1.32982895   1.27200000  
  4.50000      1.18488510   1.13000000  
  4.75000      1.05855949   1.00700000  
  5.00000      0.94832980   0.90000000  
  5.25000      0.85197524   0.80700000  
  5.50000      0.76755381   0.72600000  
  5.75000      0.69339527   0.65500000  
  6.00000      0.62808533   0.59200000  
  6.25000      0.57040433   0.53700000  
  6.50000      0.51931492   0.48800000  
  6.75000      0.47395159   0.44500000  
  7.00000      0.43354934   0.40700000  
  7.25000      0.39747643   0.37300000  
  7.50000      0.36518584   0.34200000  
  7.75000      0.33620946   0.31500000  
  8.00000      0.31014346   0.29100000  
  8.25000      0.28664187   0.26800000  
  8.50000      0.26539727   0.24800000  
  8.75000      0.24615663   0.23000000  
  9.00000      0.22869787   0.21400000  
  9.25000      0.21280592   0.19900000  
  9.50000      0.19833643   0.18500000  
  9.75000      0.18511759   0.17300000  
  10.00000     0.17303426   0.16200000  
