# Run number : 7
# Parameter set number : 1
# Cost function : 0.0195426047
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      1.0000e+00      9.0297e-01      3.3342e-01      1.0000e+00      9.4417e-01      7.2773e-01      6.8235e-01      6.7109e-01
# Distance     Computed     Reference
  2.50000      -14.55881056 -15.27700000
  2.75000      -11.60051980 -11.67100000
  3.00000      -9.41121993  -9.16100000 
  3.25000      -7.75241421  -7.36400000 
  3.50000      -6.47010507  -6.03900000 
  3.75000      -5.46156434  -5.03400000 
  4.00000      -4.65632580  -4.25500000 
  4.25000      -4.00484874  -3.63700000 
  4.50000      -3.47159090  -3.14000000 
  4.75000      -3.03052892  -2.73300000 
  5.00000      -2.66228367  -2.39600000 
  5.25000      -2.35225125  -2.11500000 
  5.50000      -2.08922202  -1.87700000 
  5.75000      -1.86449816  -1.67500000 
  6.00000      -1.67128586  -1.50200000 
  6.25000      -1.50418165  -1.35200000 
  6.50000      -1.35888189  -1.22200000 
  6.75000      -1.23190408  -1.10800000 
  7.00000      -1.12041847  -1.00900000 
  7.25000      -1.02212191  -0.92100000 
  7.50000      -0.93508991  -0.84300000 
  7.75000      -0.85775859  -0.77400000 
  8.00000      -0.78878906  -0.71200000 
  8.25000      -0.72706975  -0.65700000 
  8.50000      -0.67167497  -0.60800000 
  8.75000      -0.62180523  -0.56300000 
  9.00000      -0.57678787  -0.52300000 
  9.25000      -0.53603966  -0.48600000 
  9.50000      -0.49906733  -0.45300000 
  9.75000      -0.46543143  -0.42300000 
  10.00000     -0.43477018  -0.39500000 
