# Run number : 9
# Parameter set number : 1
# Cost function : 0.0194686233
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.7205e-01      1.0000e+00      6.9641e-03      6.0380e-01      4.0265e-01      8.0407e-01      9.1330e-02      6.2778e-01
# Distance     Computed     Reference
  2.50000      2.25018756   1.93700000  
  2.75000      2.59744594   2.66300000  
  3.00000      2.67368733   2.87900000  
  3.25000      2.60852291   2.84700000  
  3.50000      2.47321720   2.70000000  
  3.75000      2.30719123   2.50700000  
  4.00000      2.13216412   2.30000000  
  4.25000      1.95987324   2.09900000  
  4.50000      1.79631232   1.90900000  
  4.75000      1.64429240   1.73600000  
  5.00000      1.50480346   1.57800000  
  5.25000      1.37775435   1.43600000  
  5.50000      1.26259571   1.30900000  
  5.75000      1.15846612   1.19600000  
  6.00000      1.06442233   1.09400000  
  6.25000      0.97950708   1.00200000  
  6.50000      0.90281452   0.92000000  
  6.75000      0.83349141   0.84700000  
  7.00000      0.77075815   0.78100000  
  7.25000      0.71391402   0.72100000  
  7.50000      0.66232553   0.66700000  
  7.75000      0.61543220   0.61800000  
  8.00000      0.57274490   0.57400000  
  8.25000      0.53382298   0.53400000  
  8.50000      0.49828188   0.49700000  
  8.75000      0.46576045   0.46400000  
  9.00000      0.43595596   0.43400000  
  9.25000      0.40860541   0.40600000  
  9.50000      0.38346162   0.38000000  
  9.75000      0.36031476   0.35700000  
  10.00000     0.33897491   0.33500000  
