# Run number : 9
# Parameter set number : 1
# Cost function : 0.0194686233
#       ChiCH3          EtaCH3           ChiCN           EtaCN            ChiN            EtaN            ChiH            EtaH
#      4.7205e-01      1.0000e+00      6.9641e-03      6.0380e-01      4.0265e-01      8.0407e-01      9.1330e-02      6.2778e-01
# Distance     Computed     Reference
  2.50000      2.90621135   2.87300000  
  2.75000      2.66430983   2.62600000  
  3.00000      2.39893126   2.35000000  
  3.25000      2.14112084   2.08300000  
  3.50000      1.90368190   1.84000000  
  3.75000      1.69079533   1.62400000  
  4.00000      1.50257568   1.43600000  
  4.25000      1.33737840   1.27200000  
  4.50000      1.19285416   1.13000000  
  4.75000      1.06654609   1.00700000  
  5.00000      0.95609899   0.90000000  
  5.25000      0.85939962   0.80700000  
  5.50000      0.77456853   0.72600000  
  5.75000      0.69997109   0.65500000  
  6.00000      0.63422518   0.59200000  
  6.25000      0.57611755   0.53700000  
  6.50000      0.52462256   0.48800000  
  6.75000      0.47887878   0.44500000  
  7.00000      0.43812062   0.40700000  
  7.25000      0.40171752   0.37300000  
  7.50000      0.36912245   0.34200000  
  7.75000      0.33986263   0.31500000  
  8.00000      0.31353890   0.29100000  
  8.25000      0.28980062   0.26800000  
  8.50000      0.26834038   0.24800000  
  8.75000      0.24890396   0.23000000  
  9.00000      0.23125935   0.21400000  
  9.25000      0.21520260   0.19900000  
  9.50000      0.20057415   0.18500000  
  9.75000      0.18721797   0.17300000  
  10.00000     0.17499789   0.16200000  
