# Run number : 10
# Parameter set number : 1
# Cost function : 0.0215525694
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      2.4342e-01      4.0457e-01      5.9483e-01      8.8637e-01      1.9555e-01      5.2681e-01
# Distance     Computed     Reference
  2.50000      2.85042326   2.87300000  
  2.75000      2.61452016   2.62600000  
  3.00000      2.36071531   2.35000000  
  3.25000      2.11412679   2.08300000  
  3.50000      1.88592743   1.84000000  
  3.75000      1.68009823   1.62400000  
  4.00000      1.49707051   1.43600000  
  4.25000      1.33558425   1.27200000  
  4.50000      1.19364663   1.13000000  
  4.75000      1.06910582   1.00700000  
  5.00000      0.95983339   0.90000000  
  5.25000      0.86387857   0.80700000  
  5.50000      0.77948111   0.72600000  
  5.75000      0.70510516   0.65500000  
  6.00000      0.63942471   0.59200000  
  6.25000      0.58127383   0.53700000  
  6.50000      0.52966721   0.48800000  
  6.75000      0.48376564   0.44500000  
  7.00000      0.44281931   0.40700000  
  7.25000      0.40621458   0.37300000  
  7.50000      0.37340795   0.34200000  
  7.75000      0.34393249   0.31500000  
  8.00000      0.31739954   0.29100000  
  8.25000      0.29345846   0.26800000  
  8.50000      0.27180127   0.24800000  
  8.75000      0.25217258   0.23000000  
  9.00000      0.23434681   0.21400000  
  9.25000      0.21812233   0.19900000  
  9.50000      0.20333317   0.18500000  
  9.75000      0.18982504   0.17300000  
  10.00000     0.17746470   0.16200000  
