# Run number : 12
# Parameter set number : 1
# Cost function : 0.0201366856
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      1.5683e-01      3.9841e-01      4.3664e-01      7.6164e-01      1.1105e-01      5.4009e-01
# Distance     Computed     Reference
  2.50000      2.23030582   1.93700000  
  2.75000      2.59213479   2.66300000  
  3.00000      2.67993003   2.87900000  
  3.25000      2.62377025   2.84700000  
  3.50000      2.49500647   2.70000000  
  3.75000      2.33332619   2.50700000  
  4.00000      2.16085414   2.30000000  
  4.25000      1.98973676   2.09900000  
  4.50000      1.82636987   1.90900000  
  4.75000      1.67384851   1.73600000  
  5.00000      1.53339530   1.57800000  
  5.25000      1.40510255   1.43600000  
  5.50000      1.28853197   1.30900000  
  5.75000      1.18292147   1.19600000  
  6.00000      1.08738393   1.09400000  
  6.25000      1.00100530   1.00200000  
  6.50000      0.92289730   0.92000000  
  6.75000      0.85222186   0.84700000  
  7.00000      0.78821925   0.78100000  
  7.25000      0.73018584   0.72100000  
  7.50000      0.67749222   0.66700000  
  7.75000      0.62957267   0.61800000  
  8.00000      0.58592985   0.57400000  
  8.25000      0.54612371   0.53400000  
  8.50000      0.50976502   0.49700000  
  8.75000      0.47649086   0.46400000  
  9.00000      0.44598800   0.43400000  
  9.25000      0.41799577   0.40600000  
  9.50000      0.39225821   0.38000000  
  9.75000      0.36856317   0.35700000  
  10.00000     0.34671371   0.33500000  
