# Run number : 15
# Parameter set number : 1
# Cost function : 0.0230824957
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      9.9019e-02      4.1970e-01      5.3347e-01      1.0000e+00      4.9736e-02      5.8779e-01
# Distance     Computed     Reference
  2.50000      -7.89152795  -10.56000000
  2.75000      -5.92809680  -7.73900000 
  3.00000      -4.53914743  -5.78600000 
  3.25000      -3.53334877  -4.41300000 
  3.50000      -2.79014103  -3.42700000 
  3.75000      -2.23123387  -2.70400000 
  4.00000      -1.80438541  -2.16300000 
  4.25000      -1.47392073  -1.75100000 
  4.50000      -1.21494499  -1.43300000 
  4.75000      -1.00976800  -1.18400000 
  5.00000      -0.84560163  -0.98700000 
  5.25000      -0.71306779  -0.82900000 
  5.50000      -0.60519737  -0.70100000 
  5.75000      -0.51672129  -0.59700000 
  6.00000      -0.44364800  -0.51200000 
  6.25000      -0.38289649  -0.44100000 
  6.50000      -0.33208000  -0.38200000 
  6.75000      -0.28933776  -0.33200000 
  7.00000      -0.25318304  -0.29000000 
  7.25000      -0.22244991  -0.25500000 
  7.50000      -0.19620449  -0.22500000 
  7.75000      -0.17368997  -0.19900000 
  8.00000      -0.15428044  -0.17700000 
  8.25000      -0.13749609  -0.15700000 
  8.50000      -0.12291322  -0.14100000 
  8.75000      -0.11020106  -0.12600000 
  9.00000      -0.09908727  -0.11300000 
  9.25000      -0.08932173  -0.10200000 
  9.50000      -0.08073261  -0.09200000 
  9.75000      -0.07314751  -0.08400000 
  10.00000     -0.06642734  -0.07600000 
