# Run number : 15
# Parameter set number : 1
# Cost function : 0.0230824957
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      9.9019e-02      4.1970e-01      5.3347e-01      1.0000e+00      4.9736e-02      5.8779e-01
# Distance     Computed     Reference
  2.50000      2.28928247   1.93700000  
  2.75000      2.60112307   2.66300000  
  3.00000      2.66131413   2.87900000  
  3.25000      2.59033480   2.84700000  
  3.50000      2.45425182   2.70000000  
  3.75000      2.28968572   2.50700000  
  4.00000      2.11695068   2.30000000  
  4.25000      1.94708511   2.09900000  
  4.50000      1.78579639   1.90900000  
  4.75000      1.63577633   1.73600000  
  5.00000      1.49797050   1.57800000  
  5.25000      1.37232982   1.43600000  
  5.50000      1.25831547   1.30900000  
  5.75000      1.15512678   1.19600000  
  6.00000      1.06185091   1.09400000  
  6.25000      0.97755163   1.00200000  
  6.50000      0.90136576   0.92000000  
  6.75000      0.83244122   0.84700000  
  7.00000      0.77003290   0.78100000  
  7.25000      0.71345234   0.72100000  
  7.50000      0.66207715   0.66700000  
  7.75000      0.61535740   0.61800000  
  8.00000      0.57280685   0.57400000  
  8.25000      0.53399888   0.53400000  
  8.50000      0.49853552   0.49700000  
  8.75000      0.46608305   0.46400000  
  9.00000      0.43633524   0.43400000  
  9.25000      0.40902561   0.40600000  
  9.50000      0.38391103   0.38000000  
  9.75000      0.36078872   0.35700000  
  10.00000     0.33946289   0.33500000  
