# Run number : 15
# Parameter set number : 1
# Cost function : 0.0230824957
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      9.9019e-02      4.1970e-01      5.3347e-01      1.0000e+00      4.9736e-02      5.8779e-01
# Distance     Computed     Reference
  2.50000      2.89963554   2.87300000  
  2.75000      2.64311550   2.62600000  
  3.00000      2.37577564   2.35000000  
  3.25000      2.12051677   2.08300000  
  3.50000      1.88686950   1.84000000  
  3.75000      1.67770330   1.62400000  
  4.00000      1.49271780   1.43600000  
  4.25000      1.33015272   1.27200000  
  4.50000      1.18771133   1.13000000  
  4.75000      1.06302207   1.00700000  
  5.00000      0.95382270   0.90000000  
  5.25000      0.85807768   0.80700000  
  5.50000      0.77395548   0.72600000  
  5.75000      0.69990155   0.65500000  
  6.00000      0.63454719   0.59200000  
  6.25000      0.57672592   0.53700000  
  6.50000      0.52543665   0.48800000  
  6.75000      0.47984130   0.44500000  
  7.00000      0.43917724   0.40700000  
  7.25000      0.40283784   0.37300000  
  7.50000      0.37027491   0.34200000  
  7.75000      0.34102854   0.31500000  
  8.00000      0.31470072   0.29100000  
  8.25000      0.29094958   0.26800000  
  8.50000      0.26946654   0.24800000  
  8.75000      0.25000090   0.23000000  
  9.00000      0.23232357   0.21400000  
  9.25000      0.21623467   0.19900000  
  9.50000      0.20156824   0.18500000  
  9.75000      0.18817348   0.17300000  
  10.00000     0.17592126   0.16200000  
