# Run number : 15
# Parameter set number : 1
# Cost function : 0.0230824957
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      9.9019e-02      4.1970e-01      5.3347e-01      1.0000e+00      4.9736e-02      5.8779e-01
# Distance     Computed     Reference
  2.50000      -14.44106764 -15.27700000
  2.75000      -11.56020346 -11.67100000
  3.00000      -9.41413498  -9.16100000 
  3.25000      -7.77898865  -7.36400000 
  3.50000      -6.50897206  -6.03900000 
  3.75000      -5.50607677  -5.03400000 
  4.00000      -4.70258036  -4.25500000 
  4.25000      -4.05062116  -3.63700000 
  4.50000      -3.51562878  -3.14000000 
  4.75000      -3.07218122  -2.73300000 
  5.00000      -2.70127105  -2.39600000 
  5.25000      -2.38848838  -2.11500000 
  5.50000      -2.12276559  -1.87700000 
  5.75000      -1.89546797  -1.67500000 
  6.00000      -1.69984497  -1.50200000 
  6.25000      -1.53050771  -1.35200000 
  6.50000      -1.38314907  -1.22200000 
  6.75000      -1.25427542  -1.10800000 
  7.00000      -1.14106989  -1.00900000 
  7.25000      -1.04119015  -0.92100000 
  7.50000      -0.95272867  -0.84300000 
  7.75000      -0.87408184  -0.77400000 
  8.00000      -0.80392244  -0.71200000 
  8.25000      -0.74111963  -0.65700000 
  8.50000      -0.68472726  -0.60800000 
  8.75000      -0.63395518  -0.56300000 
  9.00000      -0.58811146  -0.52300000 
  9.25000      -0.54660760  -0.48600000 
  9.50000      -0.50893690  -0.45300000 
  9.75000      -0.47466749  -0.42300000 
  10.00000     -0.44341716  -0.39500000 
