# Run number : 18
# Parameter set number : 1
# Cost function : 0.0187833225
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      7.8725e-01      3.9898e-01      1.0000e+00      6.2472e-01      7.4277e-01      6.2548e-01
# Distance     Computed     Reference
  2.50000      -8.02136121  -10.56000000
  2.75000      -6.02931835  -7.73900000 
  3.00000      -4.62049192  -5.78600000 
  3.25000      -3.60001396  -4.41300000 
  3.50000      -2.84547679  -3.42700000 
  3.75000      -2.27759771  -2.70400000 
  4.00000      -1.84352006  -2.16300000 
  4.25000      -1.50715397  -1.75100000 
  4.50000      -1.24331942  -1.43300000 
  4.75000      -1.03411816  -1.18400000 
  5.00000      -0.86660076  -0.98700000 
  5.25000      -0.73125766  -0.82900000 
  5.50000      -0.62101569  -0.70100000 
  5.75000      -0.53053974  -0.59700000 
  6.00000      -0.45576640  -0.51200000 
  6.25000      -0.39356612  -0.44100000 
  6.50000      -0.34150308  -0.38200000 
  6.75000      -0.29768961  -0.33200000 
  7.00000      -0.26061268  -0.29000000 
  7.25000      -0.22907248  -0.25500000 
  7.50000      -0.20212927  -0.22500000 
  7.75000      -0.17900112  -0.19900000 
  8.00000      -0.15906094  -0.17700000 
  8.25000      -0.14180496  -0.15700000 
  8.50000      -0.12680950  -0.14100000 
  8.75000      -0.11373209  -0.12600000 
  9.00000      -0.10229220  -0.11300000 
  9.25000      -0.09224263  -0.10200000 
  9.50000      -0.08339402  -0.09200000 
  9.75000      -0.07557925  -0.08400000 
  10.00000     -0.06864635  -0.07600000 
