# Run number : 18
# Parameter set number : 1
# Cost function : 0.0187833225
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      7.8725e-01      3.9898e-01      1.0000e+00      6.2472e-01      7.4277e-01      6.2548e-01
# Distance     Computed     Reference
  2.50000      -14.52132746 -15.27700000
  2.75000      -11.57345796 -11.67100000
  3.00000      -9.38996248  -9.16100000 
  3.25000      -7.73499168  -7.36400000 
  3.50000      -6.45555669  -6.03900000 
  3.75000      -5.44933316  -5.03400000 
  4.00000      -4.64602727  -4.25500000 
  4.25000      -3.99619767  -3.63700000 
  4.50000      -3.46434300  -3.14000000 
  4.75000      -3.02446972  -2.73300000 
  5.00000      -2.65724311  -2.39600000 
  5.25000      -2.34807269  -2.11500000 
  5.50000      -2.08576697  -1.87700000 
  5.75000      -1.86166200  -1.67500000 
  6.00000      -1.66897685  -1.50200000 
  6.25000      -1.50231971  -1.35200000 
  6.50000      -1.35739397  -1.22200000 
  6.75000      -1.23073174  -1.10800000 
  7.00000      -1.11951731  -1.00900000 
  7.25000      -1.02144165  -0.92100000 
  7.50000      -0.93460952  -0.84300000 
  7.75000      -0.85743132  -0.77400000 
  8.00000      -0.78859737  -0.71200000 
  8.25000      -0.72699553  -0.65700000 
  8.50000      -0.67169659  -0.60800000 
  8.75000      -0.62190984  -0.56300000 
  9.00000      -0.57696261  -0.52300000 
  9.25000      -0.53627050  -0.48600000 
  9.50000      -0.49934025  -0.45300000 
  9.75000      -0.46574642  -0.42300000 
  10.00000     -0.43511323  -0.39500000 
