# Run number : 19
# Parameter set number : 1
# Cost function : 0.0198225829
#       ChiC            EtaC             ChiN            EtaN             ChiH            EtaH
#      7.3306e-01      3.9655e-01      1.0000e+00      7.4068e-01      6.8802e-01      5.3651e-01
# Distance     Computed     Reference
  2.50000      2.22459493   1.93700000  
  2.75000      2.58770494   2.66300000  
  3.00000      2.67649602   2.87900000  
  3.25000      2.62110533   2.84700000  
  3.50000      2.49291544   2.70000000  
  3.75000      2.33167932   2.50700000  
  4.00000      2.15953804   2.30000000  
  4.25000      1.98866845   2.09900000  
  4.50000      1.82548623   1.90900000  
  4.75000      1.67310748   1.73600000  
  5.00000      1.53275361   1.57800000  
  5.25000      1.40454152   1.43600000  
  5.50000      1.28803405   1.30900000  
  5.75000      1.18247498   1.19600000  
  6.00000      1.08697133   1.09400000  
  6.25000      1.00062777   1.00200000  
  6.50000      0.92254314   0.92000000  
  6.75000      0.85189342   0.84700000  
  7.00000      0.78790951   0.78100000  
  7.25000      0.72988779   0.72100000  
  7.50000      0.67720644   0.66700000  
  7.75000      0.62930091   0.61800000  
  8.00000      0.58567446   0.57400000  
  8.25000      0.54587884   0.53400000  
  8.50000      0.50952541   0.49700000  
  8.75000      0.47625943   0.46400000  
  9.00000      0.44576826   0.43400000  
  9.25000      0.41778596   0.40600000  
  9.50000      0.39205483   0.38000000  
  9.75000      0.36836505   0.35700000  
  10.00000     0.34652728   0.33500000  
